vicid,SumTreeFruit
310037,0.10803222
299779,1.08E-01
318381,0.105758671
318374,0.105483999
348088,0.105102537
283998,0.10490418668
325817,0.104370114
304445,0.1040191582
308184,0.103790323
314692,0.102951047
312835,0.1024779807
324884,1.02E-01
313759,0.10162354
298852,0.1009216349
334153,0.100646969
331371,0.0999298122
309081,0.09947205
287708,0.09933471943
328594,0.09924316579
337871,0.099121089
319303,0.09898376516
325819,9.88E-02
295134,9.83E-02
314676,0.0979309155
296066,0.0973815903
297920,0.09721374916
323025,0.096221923
313760,0.09579466879
345301,0.09574890016
298848,0.09570312167
314683,0.095382686
354585,0.094940188
315611,0.09468079
321156,0.093826292
323035,0.09358215337
314677,0.0925140367
322102,0.092285161
313763,0.091705327
317457,0.08934020558
322111,0.08886718958
315609,8.89E-02
299777,8.88E-02
316525,0.08874511858
315600,0.0886383004
305342,0.0880584698
292351,8.8E-02
324883,8.8E-02
342520,0.08778381879
309106,0.086898805
310985,0.0867309579
298853,8.64E-02
338799,0.086288452
339730,0.086044312
298854,8.58E-02
296996,0.084884644
335078,0.0844726574
332300,0.08399963437
338801,0.0839538588
347159,0.083877559
316518,0.08378600879
322089,0.0834960923
317470,0.083084102
310975,0.083038335
298846,0.082336427
323026,0.08203125
300705,0.08148193278
324874,0.080184933
310967,0.07984924
305366,0.079010015
296993,7.89E-02
297923,0.0787811267
303519,0.07873534758
324873,0.078582766
307256,0.0775146482
345302,0.077377323
322088,0.077011107
314673,0.076324459
298850,0.07606506409
298849,0.07586670311
346230,0.075836178
316542,0.07583617758
315601,0.075408931
326739,0.0751495369
302562,7.48E-02
315599,0.07464599516
315618,0.07421875
288637,0.0732727009
343444,0.07316589488
351802,0.073104857
333227,0.07310485658
333225,0.072891239
284926,0.07273864795
296995,7.25E-02
302561,7.2E-02
297919,6.92E-02
316519,0.069030759
316520,0.06898498278
337872,0.0687255818
293282,6.86E-02
285853,0.06794739188
351801,0.067153926
303489,6.64E-02
317468,0.06617737
332312,0.065734862
316539,0.06561279758
297917,0.06535338888
310969,0.0651092495
328595,6.49E-02
350873,0.06481933
315590,0.0645904583
329523,0.0641021694
338800,0.063659667
288636,0.06317138909
301630,6.28E-02
286780,6.27E-02
300703,0.0621795658
315617,0.06175231658
336012,0.06158447
317448,0.061416624
312833,0.06135559
305372,6.1E-02
284925,6.03E-02
290494,0.06001281337
334156,0.059875492
314684,0.05955504937
316538,0.05952453758
324885,5.89E-02
317478,0.0588226358
