loc,lat,longit,grouper,scenario,ensemble,year,spray1,spray2,spray3,dd1,dd2,dd3,dd3off,pon1,pon2,pon3,poff1,poff3,duration,maxdd,totdd,residue1,residue2,residue3,mdeffect,ceffectnmd,ceffectmd,time1,time2,time3,time4
East Oroville,48.980461,-119.41203,29,Historical,bcc-csm1-1-m,1980,25may1980,10jun1980,24jun1980,377,525,664,873,.0148465629584921,.1670000887723324,.4884178532640422,.1706808112511181,.8767990453716068,.8656332048919004,2234,2276,0,14,14,50.367832,21.512325,9.8352814,1,,,
East Oroville,48.980461,-119.41203,30,Historical,bcc-csm1-1-m,1981,04jun1981,16jun1981,30jun1981,376,525,668,971,.0145045457879922,.1670000887723324,.4983573040521861,.1688351972932566,.9507443317729758,.9380748945059078,2413,2579,0,14,14,44.227875,16.709942,7.0821695,1,,,
East Oroville,48.980461,-119.41203,31,Historical,bcc-csm1-1-m,1982,23may1982,05jun1982,19jun1982,377,529,641,849,.0148465629584921,.1744033520426749,.4308140887544439,.1706808112511181,.8491877563426978,.830618652592649,2385,2512,0,14,14,46.050785,21.446911,8.8886929,1,,,
East Oroville,48.980461,-119.41203,32,Historical,bcc-csm1-1-m,1983,25may1983,04jun1983,18jun1983,382,520,763,974,.0166519912082227,.1579838190064852,.7124597257938499,.1800646534163167,.9522114077050444,.9576402509066532,2606,2741,0,14,14,41.26841,16.094673,6.9538798,1,,,
East Oroville,48.980461,-119.41203,33,Historical,bcc-csm1-1-m,1984,02jun1984,14jun1984,28jun1984,375,523,692,911,.0141687136091938,.1633615847384016,.5569894997053251,.1670000887723324,.9121896658346178,.9016594562593548,2258,2330,0,14,14,53.967117,19.532116,8.812027,1,,,
East Oroville,48.980461,-119.41203,34,Historical,bcc-csm1-1-m,1985,22may1985,30may1985,13jun1985,369,515,756,1023,.0122795160933843,.1492371182624762,.698684925630459,.1562127419008381,.9713273876502762,.9660234951952538,2630,2723,0,14,14,36.801201,13.909217,5.1909542,1,,,
East Oroville,48.980461,-119.41203,35,Historical,bcc-csm1-1-m,1986,01jun1986,10jun1986,24jun1986,378,520,747,1104,.0151948384005804,.1579838190064852,.6804222892192751,.1725368800660678,.9884605268387194,.9878187494977215,2494,2551,0,14,14,41.699501,14.200406,5.5877204,1,,,
East Oroville,48.980461,-119.41203,36,Historical,bcc-csm1-1-m,1987,29may1987,15jun1987,29jun1987,374,524,712,882,.0138389932426956,.1651755351451852,.6039721130184952,.1651755351451852,.8860652205660291,.8722262273233335,2306,2408,0,14,14,55.676384,20.836611,9.8034821,1,,,
East Oroville,48.980461,-119.41203,37,Historical,bcc-csm1-1-m,1988,03jun1988,20jun1988,04jul1988,377,527,819,1083,.0148465629584921,.1706808112511181,.8083702166499649,.1706808112511181,.985280201742578,.970433638784086,2411,2525,0,14,14,43.551682,15.642817,7.2135892,1,,,
East Oroville,48.980461,-119.41203,38,Historical,bcc-csm1-1-m,1989,19may1989,03jun1989,17jun1989,377,523,753,974,.0148465629584921,.1633615847384016,.6926655339092276,.1706808112511181,.9522114077050444,.9446840712592689,2682,2763,0,14,14,38.625134,15.343562,5.942997,1,,,
