,county,irrig07,irrig12,irrHarv07,irrHarv12,cropland07,cropland12,pasture07,pasture12,irrig12_a,,irrigRatio12,Irrigated Crop Intensity
2424,South Dakota\Moody,2430,3227,2430,3227,235483,208768,0,0,3227,3227,0.01545735,1
1878,New York\Schenectady,399,140,399,140,10530,9083,0,0,140,140,0.01541341,1
2088,Ohio\Huron,3002,3242,3002,3211,189541,208716,0,31,3211,3211,0.015384542,1
2870,Virginia\Franklin,872,893,864,893,66792,58191,8,0,893,893,0.015346016,1
2302,Pennsylvania\Northumberland,1057,1422,1034,1422,110295,92754,23,0,1422,1422,0.015330875,1
32,Alabama\Greene,286,334,152,0,36324,21842,134,0,334,334,0.01529164,0
2339,South Carolina\Chester,0,514,0,290,29698,18998,70,224,290,290,0.015264765,1
1404,Mississippi\Calhoun,1848,1216,1848,0,89916,80088,0,0,1216,1216,0.015183298,0
653,Illinois\Peoria,2827,3198,2827,0,220243,211085,0,0,3198,3198,0.015150295,0
1890,New York\Wayne,2197,1900,2165,1900,119662,126311,32,0,1900,1900,0.015042237,1
1142,Louisiana\Plaquemines,1577,128,161,0,38350,8511,1416,0,128,128,0.015039361,0
2041,North Dakota\Steele,1875,5968,1875,5968,366696,396979,0,0,5968,5968,0.015033541,1
1269,Michigan\Lapeer,2408,2100,2253,2056,135328,137097,155,44,2056,2056,0.014996681,1
2111,Ohio\Ottawa,179,1549,0,1549,107052,103623,0,0,1549,1549,0.014948419,1
2291,Pennsylvania\Lebanon,1276,1463,1264,1441,89566,97431,12,22,1441,1441,0.014789954,1
2551,Texas\Bell,2746,3084,1787,2515,183837,170451,959,569,2515,2515,0.014754974,1
2881,Virginia\Henry,524,137,0,137,15342,9299,0,0,137,137,0.014732767,1
1192,Maryland\Carroll,1035,1431,942,0,103180,97248,93,0,1431,1431,0.014714956,0
2583,Texas\Comal,517,422,208,206,37467,14070,309,216,206,206,0.01464108,1
2681,Texas\Lee,1433,940,0,646,68291,44136,0,294,646,646,0.014636578,1
2703,Texas\Milam,2784,2486,2311,2090,205120,143011,473,396,2090,2090,0.01461426,1
1271,Michigan\Lenawee,5948,4369,5876,0,304668,299349,72,0,4369,4369,0.014595004,0
1392,Minnesota\Watonwan,1613,3241,1613,3241,252946,223268,0,0,3241,3241,0.014516187,1
2351,South Carolina\Greenwood,115,184,83,0,18022,12677,32,0,184,184,0.014514475,0
2786,Texas\Wise,2461,2775,1648,1654,133972,114295,813,1121,1654,1654,0.014471324,1
