"location","ann_prec_mean","centroid","cluster","fips"
"48.78125_-121.03125",1585.55,1211.6,"least precip",53073
"48.78125_-121.09375",1987.94,2055.41,"lesser precip",53073
"48.78125_-121.15625",2540.89,2759.57,"less precip",53073
"48.78125_-121.21875",2626.31,2759.57,"less precip",53073
"48.78125_-121.28125",3072.62,2759.57,"less precip",53073
"48.78125_-121.34375",2975.11,2759.57,"less precip",53073
"48.78125_-121.40625",2632.52,2759.57,"less precip",53073
"48.78125_-121.46875",2446.5,2759.57,"less precip",53073
"48.78125_-121.53125",2512.31,2759.57,"less precip",53073
"48.78125_-121.59375",2815.44,2759.57,"less precip",53073
"48.78125_-121.65625",2522.91,2759.57,"less precip",53073
"48.78125_-121.71875",2879.16,2759.57,"less precip",53073
"48.78125_-121.78125",3548.33,3701.32,"most precip",53073
"48.78125_-121.84375",4090.59,3701.32,"most precip",53073
"48.78125_-121.90625",3846.26,3701.32,"most precip",53073
"48.78125_-121.96875",3464.18,3701.32,"most precip",53073
"48.78125_-122.03125",2730.09,2759.57,"less precip",53073
"48.78125_-122.09375",2079.11,2055.41,"lesser precip",53073
"48.78125_-122.15625",1748.86,2055.41,"lesser precip",53073
"48.78125_-122.21875",1593.9,1211.6,"least precip",53073
"48.78125_-122.28125",2316.15,2055.41,"lesser precip",53073
"48.78125_-122.34375",1525.05,1211.6,"least precip",53073
"48.78125_-122.40625",1204.85,1211.6,"least precip",53073
"48.78125_-122.46875",986.71,1211.6,"least precip",53073
"48.78125_-122.53125",894.91,1211.6,"least precip",53073
"48.78125_-122.59375",857.57,1211.6,"least precip",53073
"48.78125_-122.65625",878.46,1211.6,"least precip",53073
"48.84375_-120.78125",1327.82,1211.6,"least precip",53073
"48.84375_-120.84375",1328.18,1211.6,"least precip",53073
"48.84375_-120.90625",1451.9,1211.6,"least precip",53073
"48.84375_-120.96875",1686.89,2055.41,"lesser precip",53073
"48.84375_-121.03125",1478.71,1211.6,"least precip",53073
"48.84375_-121.09375",2015.42,2055.41,"lesser precip",53073
"48.84375_-121.15625",2548.89,2759.57,"less precip",53073
"48.84375_-121.21875",2451.79,2759.57,"less precip",53073
"48.84375_-121.28125",2822.4,2759.57,"less precip",53073
