"location","cluster"
"48.78125_-122.21875","1"
"48.78125_-122.34375","1"
"48.78125_-122.40625","1"
"48.78125_-122.46875","1"
"48.78125_-122.53125","1"
"48.78125_-122.59375","1"
"48.84375_-121.03125","1"
"48.84375_-122.15625","1"
"48.84375_-122.28125","1"
"48.84375_-122.34375","1"
"48.84375_-122.40625","1"
"48.84375_-122.46875","1"
"48.84375_-122.53125","1"
"48.84375_-122.59375","1"
"48.84375_-122.65625","1"
"48.90625_-122.09375","1"
"48.90625_-122.15625","1"
"48.90625_-122.28125","1"
"48.90625_-122.34375","1"
"48.90625_-122.40625","1"
"48.90625_-122.46875","1"
"48.90625_-122.53125","1"
"48.90625_-122.59375","1"
"48.90625_-122.65625","1"
"48.90625_-122.71875","1"
"48.96875_-121.03125","1"
"48.96875_-121.09375","1"
"48.96875_-122.09375","1"
"48.96875_-122.15625","1"
"48.96875_-122.21875","1"
"48.96875_-122.28125","1"
"48.96875_-122.34375","1"
"48.96875_-122.40625","1"
"48.96875_-122.46875","1"
"48.96875_-122.53125","1"
"48.96875_-122.59375","1"
"48.96875_-122.65625","1"
"48.96875_-122.71875","1"
"49.03125_-122.46875","1"
"49.03125_-122.53125","1"
"49.03125_-122.59375","1"
"49.03125_-122.65625","1"
"49.03125_-122.71875","1"
"47.78125_-121.28125","2"
"47.78125_-121.78125","2"
"47.84375_-121.65625","2"
"47.84375_-121.71875","2"
"47.90625_-121.71875","2"
"47.90625_-121.78125","2"
"47.96875_-121.71875","2"
"47.96875_-121.78125","2"
"47.96875_-121.84375","2"
"48.03125_-121.84375","2"
"48.03125_-121.90625","2"
"48.09375_-121.34375","2"
"48.09375_-121.40625","2"
"48.09375_-121.84375","2"
"48.09375_-121.90625","2"
"48.15625_-121.28125","2"
"48.15625_-121.46875","2"
"48.15625_-121.90625","2"
"48.15625_-121.96875","2"
"48.21875_-121.15625","2"
"48.21875_-121.53125","2"
"48.21875_-121.59375","2"
"48.21875_-121.96875","2"
"48.28125_-121.09375","2"
"48.28125_-121.40625","2"
"48.28125_-121.53125","2"
"48.28125_-121.59375","2"
"48.28125_-121.65625","2"
"48.28125_-121.71875","2"
"48.28125_-121.78125","2"
"48.28125_-121.84375","2"
"48.28125_-121.90625","2"
"48.28125_-122.09375","2"
"48.34375_-121.40625","2"
"48.34375_-121.46875","2"
"48.34375_-121.53125","2"
"48.34375_-121.96875","2"
"48.34375_-122.03125","2"
"48.34375_-122.09375","2"
"48.40625_-121.53125","2"
"48.40625_-121.59375","2"
"48.40625_-122.15625","2"
"48.46875_-121.15625","2"
"48.46875_-121.21875","2"
"48.46875_-121.46875","2"
"48.46875_-121.53125","2"
"48.46875_-121.59375","2"
"48.46875_-121.65625","2"
"48.46875_-121.71875","2"
"48.46875_-122.03125","2"
"48.46875_-122.09375","2"
"48.53125_-121.28125","2"
"48.53125_-121.34375","2"
"48.53125_-121.40625","2"
"48.53125_-121.46875","2"
"48.53125_-121.65625","2"
"48.53125_-121.71875","2"
"48.53125_-121.78125","2"
"48.53125_-121.84375","2"
"48.59375_-121.03125","2"
"48.59375_-121.21875","2"
"48.59375_-121.34375","2"
"48.59375_-121.40625","2"
"48.59375_-121.46875","2"
"48.59375_-121.71875","2"
"48.59375_-121.90625","2"
"48.59375_-121.96875","2"
"48.59375_-122.03125","2"
"48.59375_-122.09375","2"
"48.59375_-122.21875","2"
"48.65625_-121.28125","2"
"48.65625_-121.40625","2"
"48.65625_-121.65625","2"
"48.65625_-121.71875","2"
"48.65625_-122.09375","2"
"48.65625_-122.15625","2"
"48.65625_-122.21875","2"
"48.65625_-122.28125","2"
"48.65625_-122.34375","2"
"48.71875_-121.09375","2"
"48.71875_-121.15625","2"
"48.71875_-121.28125","2"
"48.71875_-121.59375","2"
"48.71875_-121.65625","2"
"48.71875_-122.09375","2"
"48.71875_-122.21875","2"
"48.71875_-122.28125","2"
"48.78125_-121.53125","2"
"48.78125_-121.65625","2"
"48.78125_-122.03125","2"
"48.78125_-122.09375","2"
"48.78125_-122.15625","2"
"48.78125_-122.28125","2"
"48.84375_-121.21875","2"
"48.84375_-121.90625","2"
"48.84375_-122.09375","2"
"48.84375_-122.21875","2"
"48.90625_-121.21875","2"
"48.90625_-121.71875","2"
"48.90625_-121.78125","2"
"48.90625_-121.84375","2"
"48.90625_-121.90625","2"
"48.90625_-121.96875","2"
"48.90625_-122.03125","2"
"48.90625_-122.21875","2"
"48.09375_-121.03125","5"
"48.09375_-121.09375","5"
"48.15625_-120.96875","5"
"48.15625_-121.03125","5"
"48.15625_-121.09375","5"
"48.21875_-120.96875","5"
"48.21875_-121.03125","5"
"48.28125_-121.03125","5"
"48.40625_-121.09375","5"
"48.46875_-121.09375","5"
"48.53125_-120.71875","5"
"48.53125_-120.78125","5"
"48.53125_-120.90625","5"
"48.53125_-120.96875","5"
"48.53125_-121.03125","5"
"48.59375_-120.78125","5"
"48.59375_-120.84375","5"
"48.59375_-120.90625","5"
"48.59375_-120.96875","5"
"48.65625_-120.78125","5"
"48.65625_-120.84375","5"
"48.65625_-120.90625","5"
"48.65625_-120.96875","5"
"48.65625_-121.03125","5"
"48.65625_-121.09375","5"
"48.71875_-120.71875","5"
"48.71875_-120.78125","5"
"48.71875_-120.84375","5"
"48.71875_-120.90625","5"
"48.71875_-120.96875","5"
"48.71875_-121.03125","5"
"48.78125_-120.78125","5"
"48.78125_-120.84375","5"
"48.78125_-120.90625","5"
"48.78125_-120.96875","5"
