"future_fip","model","time_period","emission","top_1_fip","top_2_fip","top_3_fip"
53077,"BNU-ESM","F1","rcp45",53071,53005,53021
53077,"BNU-ESM","F2","rcp45",53071,53005,6099
53077,"BNU-ESM","F3","rcp45",6047,6099,6031
53077,"CanESM2","F1","rcp45",53071,53005,53021
53077,"CanESM2","F2","rcp45",53071,53005,6047
53077,"CanESM2","F3","rcp45",6047,6099,6039
53077,"CNRM-CM5","F1","rcp45",53005,53021,53071
53077,"CNRM-CM5","F2","rcp45",53005,53071,53021
53077,"CNRM-CM5","F3","rcp45",53071,53005,53021
53077,"GFDL-ESM2G","F1","rcp45",53021,53005,53001
53077,"GFDL-ESM2G","F2","rcp45",53071,53005,53021
53077,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53077,"GFDL-ESM2M","F1","rcp45",53001,53021,53005
53077,"GFDL-ESM2M","F2","rcp45",53005,53021,53001
53077,"GFDL-ESM2M","F3","rcp45",53005,53021,53001
53013,"bcc-csm1-1-m","F1","rcp45",36000,36063,36073
53013,"bcc-csm1-1-m","F2","rcp45",36073,36063,36000
53013,"bcc-csm1-1-m","F3","rcp45",36073,36063,36000
53013,"BNU-ESM","F1","rcp45",36073,36000,36063
53013,"BNU-ESM","F2","rcp45",51069,54003,36073
53013,"BNU-ESM","F3","rcp45",6067,6095,6113
53013,"CanESM2","F1","rcp45",36073,36063,51069
53013,"CanESM2","F2","rcp45",6067,6095,51069
53013,"CanESM2","F3","rcp45",54003,6095,51069
53013,"CNRM-CM5","F1","rcp45",36063,36000,36073
53013,"CNRM-CM5","F2","rcp45",36073,36063,36000
53013,"CNRM-CM5","F3","rcp45",36073,36063,36000
53013,"GFDL-ESM2G","F1","rcp45",36000,36063,36073
53013,"GFDL-ESM2G","F2","rcp45",36073,36063,36000
53013,"GFDL-ESM2G","F3","rcp45",36073,36063,36000
53013,"GFDL-ESM2M","F1","rcp45",36000,36063,36073
53013,"GFDL-ESM2M","F2","rcp45",36000,36063,36073
53013,"GFDL-ESM2M","F3","rcp45",36000,36063,36073
53025,"bcc-csm1-1-m","F1","rcp45",53005,53021,53001
53025,"bcc-csm1-1-m","F2","rcp45",53005,53071,53021
53025,"bcc-csm1-1-m","F3","rcp45",53005,53021,53071
53025,"BNU-ESM","F1","rcp45",53005,53071,6047
53025,"BNU-ESM","F2","rcp45",6031,6047,6039
53025,"BNU-ESM","F3","rcp45",6031,6047,6039
53025,"CanESM2","F1","rcp45",53005,53071,53021
53025,"CanESM2","F2","rcp45",6031,6047,6039
53025,"CanESM2","F3","rcp45",6031,6047,6039
53025,"CNRM-CM5","F1","rcp45",53005,53021,53071
53025,"CNRM-CM5","F2","rcp45",53005,53071,53021
53025,"CNRM-CM5","F3","rcp45",53005,53071,53021
53025,"GFDL-ESM2G","F1","rcp45",53005,53021,53001
53025,"GFDL-ESM2G","F2","rcp45",53005,53071,53021
53025,"GFDL-ESM2G","F3","rcp45",53005,53071,53021
53025,"GFDL-ESM2M","F1","rcp45",53005,53021,53001
53025,"GFDL-ESM2M","F2","rcp45",53005,53021,53001
53025,"GFDL-ESM2M","F3","rcp45",53005,53021,53001
53001,"bcc-csm1-1-m","F1","rcp45",53005,53021,53001
53001,"bcc-csm1-1-m","F2","rcp45",53005,53071,53021
53001,"bcc-csm1-1-m","F3","rcp45",53005,53071,53021
53001,"BNU-ESM","F1","rcp45",53071,53005,6099
53001,"BNU-ESM","F2","rcp45",6047,6099,6031
53001,"BNU-ESM","F3","rcp45",6031,6047,6039
53001,"CanESM2","F1","rcp45",53071,53005,53021
53001,"CanESM2","F2","rcp45",6031,6047,6099
53001,"CanESM2","F3","rcp45",6047,6039,6031
53001,"CNRM-CM5","F1","rcp45",53005,53021,53071
53001,"CNRM-CM5","F2","rcp45",53005,53071,53021
53001,"CNRM-CM5","F3","rcp45",53071,53005,53021
53001,"GFDL-ESM2G","F1","rcp45",53005,53021,53001
53001,"GFDL-ESM2G","F2","rcp45",53005,53071,53021
53001,"GFDL-ESM2G","F3","rcp45",53005,53071,53021
53001,"GFDL-ESM2M","F1","rcp45",53005,53021,53001
53001,"GFDL-ESM2M","F2","rcp45",53005,53021,53071
53001,"GFDL-ESM2M","F3","rcp45",53005,53021,53071
53037,"bcc-csm1-1-m","F1","rcp45",53005,53021,53001
53037,"bcc-csm1-1-m","F2","rcp45",53005,53071,53021
53037,"bcc-csm1-1-m","F3","rcp45",53005,53021,53071
53037,"BNU-ESM","F1","rcp45",53071,53005,53021
53037,"BNU-ESM","F2","rcp45",53071,53005,53021
53037,"BNU-ESM","F3","rcp45",53071,53005,6047
53037,"CanESM2","F1","rcp45",53005,53071,53021
53037,"CanESM2","F2","rcp45",53071,53005,53021
53037,"CanESM2","F3","rcp45",6047,6099,6039
53037,"CNRM-CM5","F1","rcp45",53005,53021,53001
53037,"CNRM-CM5","F2","rcp45",53005,53021,53071
53037,"CNRM-CM5","F3","rcp45",53071,53005,53021
53037,"GFDL-ESM2G","F1","rcp45",53021,53001,53005
53037,"GFDL-ESM2G","F2","rcp45",53071,53005,53021
53037,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53037,"GFDL-ESM2M","F1","rcp45",53001,53021,53025
53037,"GFDL-ESM2M","F2","rcp45",53021,53005,53001
53037,"GFDL-ESM2M","F3","rcp45",53021,53005,53001
53007,"bcc-csm1-1-m","F1","rcp45",53071,53021,53005
53007,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53007,"bcc-csm1-1-m","F3","rcp45",53071,53005,53021
53007,"BNU-ESM","F1","rcp45",53071,53005,53021
53007,"BNU-ESM","F2","rcp45",6077,6067,53071
53007,"BNU-ESM","F3","rcp45",6077,6099,6067
53007,"CanESM2","F1","rcp45",53071,53005,53021
53007,"CanESM2","F2","rcp45",6077,53071,6099
53007,"CanESM2","F3","rcp45",6077,6099,6067
53007,"CNRM-CM5","F1","rcp45",53071,53021,53005
53007,"CNRM-CM5","F2","rcp45",53071,53005,53021
53007,"CNRM-CM5","F3","rcp45",53071,53005,53021
53007,"GFDL-ESM2G","F1","rcp45",53071,53047,6053
53007,"GFDL-ESM2G","F2","rcp45",53071,53005,53021
53007,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53007,"GFDL-ESM2M","F1","rcp45",53017,53047,6053
53007,"GFDL-ESM2M","F2","rcp45",53071,6053,53021
53007,"GFDL-ESM2M","F3","rcp45",53071,53021,53005
53017,"bcc-csm1-1-m","F1","rcp45",53071,53005,53021
53017,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53017,"bcc-csm1-1-m","F3","rcp45",53071,53005,53021
53017,"BNU-ESM","F1","rcp45",53071,53005,53021
53017,"BNU-ESM","F2","rcp45",6077,6099,53071
53017,"BNU-ESM","F3","rcp45",6077,6099,6047
53017,"CanESM2","F1","rcp45",53071,53005,53021
53017,"CanESM2","F2","rcp45",6077,53071,6099
53017,"CanESM2","F3","rcp45",6077,6099,6047
53017,"CNRM-CM5","F1","rcp45",53071,53005,53021
53017,"CNRM-CM5","F2","rcp45",53071,53005,53021
53017,"CNRM-CM5","F3","rcp45",53071,53005,53021
53017,"GFDL-ESM2G","F1","rcp45",53071,53021,53005
53017,"GFDL-ESM2G","F2","rcp45",53071,53005,53021
53017,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53017,"GFDL-ESM2M","F1","rcp45",53021,53001,53005
53017,"GFDL-ESM2M","F2","rcp45",53071,53021,53005
53017,"GFDL-ESM2M","F3","rcp45",53071,53021,53005
53047,"bcc-csm1-1-m","F1","rcp45",53071,53021,53005
53047,"bcc-csm1-1-m","F2","rcp45",53071,53005,53021
53047,"bcc-csm1-1-m","F3","rcp45",53071,53005,53021
53047,"BNU-ESM","F1","rcp45",53071,6077,6067
53047,"BNU-ESM","F2","rcp45",6077,6067,6099
53047,"BNU-ESM","F3","rcp45",6077,6067,6099
53047,"CanESM2","F1","rcp45",53071,53005,53021
53047,"CanESM2","F2","rcp45",6077,6099,6067
53047,"CanESM2","F3","rcp45",6077,6067,6099
53047,"CNRM-CM5","F1","rcp45",53071,53005,53021
53047,"CNRM-CM5","F2","rcp45",53071,53005,53021
53047,"CNRM-CM5","F3","rcp45",53071,6053,53005
53047,"GFDL-ESM2G","F1","rcp45",53071,53047,6053
53047,"GFDL-ESM2G","F2","rcp45",53071,53005,53021
53047,"GFDL-ESM2G","F3","rcp45",53071,53005,53021
53047,"GFDL-ESM2M","F1","rcp45",53071,6053,53021
53047,"GFDL-ESM2M","F2","rcp45",53071,6053,53021
53047,"GFDL-ESM2M","F3","rcp45",53071,53021,53005
