Varroa Population Simulation - Aug 13,2019  11:42:04 AM
VarroaPop Version 3.2.8.16 September 2018

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
02/06/2002  32259   3000  18695   9677      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000 9088.5  0.000      0      0      0      0      0      5.000    8.900  0.600
02/07/2002  32259   3000  18695   9677      0      0      0      0      0     10      0      0      0   0.00   0.00      0   0.00    0.0  0.000 8903.4  0.000      0      0      0      0      0      5.000    7.920  1.925
02/08/2002  32015   3000  18080   9604      0      0      0      0      0     40      0      0      0   0.00   0.00      0   0.00    0.0  0.000 10279.3  0.000      0      0      0      0      0      5.000   11.475  0.000
02/09/2002  32015   3000  18080   9604      0      0      0      0      0     85      0      0      0   0.00   0.00      0   0.00    0.0  0.000 10095.7  0.000      0      0      0      0      0      5.000   10.485  0.375
02/10/2002  31772   3000  17465   9531      0      0      0     10      0    144      0      0      0   0.00   0.00      0   0.00  648.3  0.000 10031.2  0.000      0      0      0      0      0      5.000   12.420  0.000
02/11/2002  31530   3000  16850   9459      0      0      0     40      0    193      0      0      0   0.00   0.00      0   0.00 1290.9  0.000 9967.0  0.000      0      0      0      0      0      5.000   10.690  0.000
02/12/2002  25331   3000  16235   6096      0      0      0     85      0    232      0      0      0   0.00   0.00      0   0.00 1697.5  0.000 9889.1  0.000      0      0      0      0      0      5.000    9.075  0.000
02/13/2002  25321   3000  15620   6701      0      0      0    154      0    237      0      0      0   0.00   0.00      0   0.00 1633.6  0.000 9734.4  0.000      0      0      0      0      0      5.000    8.935  1.875
02/14/2002  25310   3000  15000   7310      0      0      0    233      0    269      0      0      0   0.00   0.00      0   0.00 1568.6  0.000 9579.8  0.000      0      0      0      0      0      5.000   11.565  3.975
02/15/2002  24695   3000  13000   7408      0     10      0    307      0    309      0      0      0   0.00   0.00      0   0.00 2073.0  0.000 9522.0  0.000      0      0      0      0      0      5.000   11.005  0.000
