"location","elevation","ann_prec_mean","centroid","fips","cluster"
"47.84375_-121.78125",112.999001,1753.15,2055.41,53061,"lesser precip"
"47.84375_-121.84375",65.4994965,1437.47,1211.6,53061,"least precip"
"47.84375_-121.90625",93.1837006,1392.56,1211.6,53061,"least precip"
"47.84375_-121.96875",55.9375,1288.06,1211.6,53061,"least precip"
"47.84375_-122.03125",116.75,1245.32,1211.6,53061,"least precip"
"47.84375_-122.09375",63.2496986,1193.53,1211.6,53061,"least precip"
"47.84375_-122.15625",126.5,1106.47,1211.6,53061,"least precip"
"47.84375_-122.21875",104.875999,1039.43,1211.6,53061,"least precip"
"47.84375_-122.28125",152.375,993.25,1211.6,53061,"least precip"
"47.84375_-122.34375",21.4360008,964.21,1211.6,53061,"least precip"
"47.90625_-121.21875",1388.81995,2699.13,2759.57,53061,"less precip"
"47.90625_-121.28125",959.255005,2660.13,2759.57,53061,"less precip"
"47.90625_-121.34375",1417.31006,3003.94,2759.57,53061,"less precip"
"47.90625_-121.40625",868.062988,3203.39,2759.57,53061,"less precip"
"47.90625_-121.46875",616.703979,3565.22,3701.32,53061,"most precip"
"47.90625_-121.53125",1167.18005,4216.05,3701.32,53061,"most precip"
"47.90625_-121.59375",1213.73999,4254.86,3701.32,53061,"most precip"
"47.90625_-121.65625",1005.95001,3617.83,3701.32,53061,"most precip"
"47.90625_-121.71875",237.063004,2489.19,2759.57,53061,"less precip"
"47.90625_-121.78125",243.938004,1973.5,2055.41,53061,"lesser precip"
"47.90625_-121.84375",197.563995,1701.27,2055.41,53061,"lesser precip"
"47.90625_-121.90625",84.1266022,1442.31,1211.6,53061,"least precip"
"47.90625_-121.96875",157.751007,1412.14,1211.6,53061,"least precip"
"47.90625_-122.03125",62.8128014,1268.01,1211.6,53061,"least precip"
"47.90625_-122.09375",35.5004005,1129.68,1211.6,53061,"least precip"
"47.90625_-122.15625",43.2496986,1012.67,1211.6,53061,"least precip"
"47.90625_-122.21875",149.188004,990.49,1211.6,53061,"least precip"
"47.96875_-121.15625",1582.12,2731.09,2759.57,53061,"less precip"
"47.96875_-121.21875",1389.81995,2931.47,2759.57,53061,"less precip"
"47.96875_-121.28125",1100.75,2802.95,2759.57,53061,"less precip"
"47.96875_-121.34375",1847.44995,3222.06,2759.57,53061,"less precip"
"47.96875_-121.40625",1250.26001,3688.04,3701.32,53061,"most precip"
"47.96875_-121.46875",1315.76001,4257.52,3701.32,53061,"most precip"
"47.96875_-121.53125",868.578003,4117.52,3701.32,53061,"most precip"
"47.96875_-121.59375",708.052002,3646,3701.32,53061,"most precip"
"47.96875_-121.65625",444.243011,3469.68,3701.32,53061,"most precip"
"47.96875_-121.71875",412.86499,2966.57,2759.57,53061,"less precip"
"47.96875_-121.78125",364.373993,2612,2759.57,53061,"less precip"
"47.96875_-121.84375",266.252014,2292.32,2055.41,53061,"lesser precip"
"47.96875_-121.90625",197.626007,1711.04,2055.41,53061,"lesser precip"
"47.96875_-121.96875",122,1527.41,1211.6,53061,"least precip"
"47.96875_-122.03125",96.2499008,1299.72,1211.6,53061,"least precip"
"47.96875_-122.09375",104.561996,1181.17,1211.6,53061,"least precip"
"47.96875_-122.15625",57.3125992,985.7,1211.6,53061,"least precip"
"47.96875_-122.21875",62.9996986,969.35,1211.6,53061,"least precip"
"48.03125_-121.15625",1654.64001,2566.97,2759.57,53061,"less precip"
"48.03125_-121.21875",1359.35999,2788.76,2759.57,53061,"less precip"
"48.03125_-121.28125",1147.82996,2725.56,2759.57,53061,"less precip"
"48.03125_-121.34375",1704.88,3161.72,2759.57,53061,"less precip"
"48.03125_-121.40625",1177.56006,3550.68,3701.32,53061,"most precip"
"48.03125_-121.46875",954.064026,3854.17,3701.32,53061,"most precip"
"48.03125_-121.53125",1057.38,4231.33,3701.32,53061,"most precip"
"48.03125_-121.59375",1045.06995,3966.86,3701.32,53061,"most precip"
"48.03125_-121.65625",847.690002,3693.5,3701.32,53061,"most precip"
"48.03125_-121.71875",853.687012,3594.24,3701.32,53061,"most precip"
"48.03125_-121.78125",532.695007,3315.13,3701.32,53061,"most precip"
"48.03125_-121.84375",259.438995,2744.75,2759.57,53061,"less precip"
"48.03125_-121.90625",234.313995,1912.41,2055.41,53061,"lesser precip"
"48.03125_-121.96875",231.311005,1594.68,1211.6,53061,"least precip"
"48.03125_-122.03125",65.9375992,1321.68,1211.6,53061,"least precip"
"48.03125_-122.09375",112.75,1260.19,1211.6,53061,"least precip"
"48.03125_-122.15625",6,1041.07,1211.6,53061,"least precip"
"48.09375_-121.03125",1439.43005,1982.27,2055.41,53061,"lesser precip"
"48.09375_-121.09375",2202.93994,2363.16,2055.41,53061,"lesser precip"
"48.09375_-121.15625",1575.94995,2485.77,2759.57,53061,"less precip"
"48.09375_-121.21875",1515.76001,2676.94,2759.57,53061,"less precip"
"48.09375_-121.28125",1191.37,2724.68,2759.57,53061,"less precip"
"48.09375_-121.34375",636.491028,2978,2759.57,53061,"less precip"
"48.09375_-121.40625",581.242981,3072.14,2759.57,53061,"less precip"
"48.09375_-121.46875",1439.25,3767.86,3701.32,53061,"most precip"
"48.09375_-121.53125",666.632996,4028.07,3701.32,53061,"most precip"
"48.09375_-121.59375",1245.18994,3982.44,3701.32,53061,"most precip"
"48.09375_-121.65625",801.06897,3780.62,3701.32,53061,"most precip"
"48.09375_-121.71875",591.377991,3589.69,3701.32,53061,"most precip"
"48.09375_-121.78125",312.437012,3218.63,2759.57,53061,"less precip"
"48.09375_-121.84375",397.562012,2688.19,2759.57,53061,"less precip"
"48.09375_-121.90625",320.187012,1982.98,2055.41,53061,"lesser precip"
"48.09375_-121.96875",100.685997,1602.96,1211.6,53061,"least precip"
"48.09375_-122.03125",119.813004,1337.72,1211.6,53061,"least precip"
"48.09375_-122.09375",125.25,1377.08,1211.6,53061,"least precip"
"48.09375_-122.15625",20.7502995,1130.45,1211.6,53061,"least precip"
"48.09375_-122.21875",86.8743973,1059.38,1211.6,53061,"least precip"
"48.15625_-120.96875",1615.93994,1943.67,2055.41,53061,"lesser precip"
"48.15625_-121.03125",1414.73999,1926.75,2055.41,53061,"lesser precip"
"48.15625_-121.09375",1513.81006,2138.23,2055.41,53061,"lesser precip"
"48.15625_-121.15625",1850.37,2470.01,2759.57,53061,"less precip"
"48.15625_-121.21875",1170.26001,2694.27,2759.57,53061,"less precip"
"48.15625_-121.28125",763.814026,2731.53,2759.57,53061,"less precip"
"48.15625_-121.34375",960.999023,2916.32,2759.57,53061,"less precip"
"48.15625_-121.40625",1089.38,3076.26,2759.57,53061,"less precip"
"48.15625_-121.46875",706.294983,2974.16,2759.57,53061,"less precip"
"48.15625_-121.53125",977.809021,3360.95,3701.32,53061,"most precip"
"48.15625_-121.59375",706.18103,3639.79,3701.32,53061,"most precip"
"48.15625_-121.65625",928.442993,4187.14,3701.32,53061,"most precip"
"48.15625_-121.71875",1110.32996,4150.13,3701.32,53061,"most precip"
"48.15625_-121.78125",467.946991,3398.02,3701.32,53061,"most precip"
"48.15625_-121.84375",763.257019,3269.88,3701.32,53061,"most precip"
"48.15625_-121.90625",676.377014,2820.57,2759.57,53061,"less precip"
"48.15625_-121.96875",549.564026,2593.38,2759.57,53061,"less precip"
"48.15625_-122.03125",113.251999,1564.79,1211.6,53061,"least precip"
"48.15625_-122.09375",152.186996,1356.6,1211.6,53061,"least precip"
"48.15625_-122.15625",42.375,1187.01,1211.6,53061,"least precip"
"48.15625_-122.21875",42.9375,1126.68,1211.6,53061,"least precip"
"48.15625_-122.28125",126.500999,1058.37,1211.6,53061,"least precip"
"48.15625_-122.34375",83.6865005,937.17,1211.6,53061,"least precip"
"48.21875_-120.96875",1908.13,1957.05,2055.41,53061,"lesser precip"
"48.21875_-121.03125",1483.87,1982.76,2055.41,53061,"lesser precip"
"48.21875_-121.09375",1082.44995,2205.82,2055.41,53061,"lesser precip"
"48.21875_-121.15625",714.812988,2359.53,2055.41,53061,"lesser precip"
"48.21875_-121.21875",1716.80005,2616.03,2759.57,53061,"less precip"
"48.21875_-121.28125",846.489014,2695.61,2759.57,53061,"less precip"
"48.21875_-121.34375",1110.93994,2791.23,2759.57,53061,"less precip"
"48.21875_-121.40625",1434.62,3056.83,2759.57,53061,"less precip"
"48.21875_-121.46875",945.062988,3174.76,2759.57,53061,"less precip"
"48.21875_-121.53125",641.322998,2839.04,2759.57,53061,"less precip"
"48.21875_-121.59375",509.737,2938.21,2759.57,53061,"less precip"
"48.21875_-121.65625",1066.55005,3267.28,3701.32,53061,"most precip"
"48.21875_-121.71875",1117.01001,3954.77,3701.32,53061,"most precip"
"48.21875_-121.78125",532.804993,3571.86,3701.32,53061,"most precip"
"48.21875_-121.84375",800.310974,3292,3701.32,53061,"most precip"
"48.21875_-121.90625",880.442017,3018.27,2759.57,53061,"less precip"
"48.21875_-121.96875",186.059998,2116.61,2055.41,53061,"lesser precip"
"48.21875_-122.03125",242.384003,1682.83,2055.41,53061,"lesser precip"
"48.21875_-122.09375",64.7500992,1252.78,1211.6,53061,"least precip"
"48.21875_-122.15625",49.2503014,1209.92,1211.6,53061,"least precip"
"48.21875_-122.21875",39.1254005,1179.65,1211.6,53061,"least precip"
"48.21875_-122.28125",39.1884003,1061.45,1211.6,53061,"least precip"
"48.21875_-122.34375",3.0625,910.23,1211.6,53061,"least precip"
"48.28125_-121.03125",1416.57996,2106.42,2055.41,53061,"lesser precip"
"48.28125_-121.09375",916.013977,2248.3,2055.41,53061,"lesser precip"
"48.28125_-121.15625",1571.75,2369.56,2055.41,53061,"lesser precip"
"48.28125_-121.21875",1009.75,2592.47,2759.57,53061,"less precip"
"48.28125_-121.28125",1514.12,2673.37,2759.57,53061,"less precip"
"48.28125_-121.34375",927.705994,2691.48,2759.57,53061,"less precip"
"48.28125_-121.40625",260.75,2487.81,2759.57,53061,"less precip"
"48.28125_-121.46875",1422.18005,2914.89,2759.57,53061,"less precip"
"48.28125_-121.53125",173.936996,2277.28,2055.41,53061,"lesser precip"
"48.28125_-121.59375",207.507004,2545.45,2759.57,53061,"less precip"
"48.28125_-121.65625",192.442001,2469.04,2759.57,53061,"less precip"
"48.28125_-121.71875",154.25,2548.79,2759.57,53061,"less precip"
"48.28125_-121.78125",164.626999,2555.23,2759.57,53061,"less precip"
"48.28125_-121.84375",139.440002,2315.8,2055.41,53061,"lesser precip"
"48.28125_-121.90625",119.252998,1984.48,2055.41,53061,"lesser precip"
"48.28125_-121.96875",129.188995,1704.99,2055.41,53061,"lesser precip"
"48.28125_-122.03125",136.007996,1716.32,2055.41,53061,"lesser precip"
"48.28125_-122.09375",352.131012,1882.67,2055.41,53061,"lesser precip"
"48.28125_-122.15625",188.126999,1438.11,1211.6,53061,"least precip"
"48.28125_-122.21875",196.313004,1342.51,1211.6,53061,"least precip"
"48.28125_-122.28125",103.875999,1200.05,1211.6,53061,"least precip"
"48.28125_-122.34375",62.25,950.03,1211.6,53061,"least precip"
"48.34375_-121.09375",1169.5,2397.66,2055.41,53057,"lesser precip"
"48.34375_-121.15625",1136.43994,2549.86,2759.57,53057,"less precip"
"48.34375_-121.21875",1627.44995,2984.9,2759.57,53057,"less precip"
"48.34375_-121.28125",872.622009,2860.51,2759.57,53057,"less precip"
"48.34375_-121.34375",1309.60999,2990.09,2759.57,53057,"less precip"
"48.34375_-121.40625",801.703003,2674.92,2759.57,53057,"less precip"
"48.34375_-121.46875",399.681,2496.08,2759.57,53057,"less precip"
"48.34375_-121.53125",121.750999,2136.21,2055.41,53057,"lesser precip"
"48.34375_-121.59375",844.179993,2791.53,2759.57,53057,"less precip"
"48.34375_-121.65625",712.934998,3370.09,3701.32,53057,"most precip"
"48.34375_-121.71875",1138.93994,4080.05,3701.32,53057,"most precip"
"48.34375_-121.78125",1103.26001,3985.21,3701.32,53057,"most precip"
"48.34375_-121.84375",1087.5,3657,3701.32,53057,"most precip"
"48.34375_-121.90625",851.617004,2986.51,2759.57,53057,"less precip"
"48.34375_-121.96875",358.622986,2326.76,2055.41,53057,"lesser precip"
"48.34375_-122.03125",372.502014,2156.88,2055.41,53057,"lesser precip"
"48.34375_-122.09375",276.751007,2145.68,2055.41,53057,"lesser precip"
"48.34375_-122.15625",268.69101,1676.07,2055.41,53057,"lesser precip"
"48.34375_-122.21875",150.938004,1359.33,1211.6,53057,"least precip"
"48.34375_-122.28125",211.565002,1361.32,1211.6,53057,"least precip"
"48.34375_-122.34375",3,917.59,1211.6,53057,"least precip"
"48.40625_-121.09375",1690.06006,2256.18,2055.41,53057,"lesser precip"
"48.40625_-121.15625",1496.81995,2404.13,2055.41,53057,"lesser precip"
"48.40625_-121.21875",1541.93005,2527.06,2759.57,53057,"less precip"
"48.40625_-121.28125",1995.43005,3197.32,2759.57,53057,"less precip"
"48.40625_-121.34375",995.828979,3047.65,2759.57,53057,"less precip"
"48.40625_-121.40625",1240.81006,2863.96,2759.57,53057,"less precip"
"48.40625_-121.46875",1341.94995,2852.31,2759.57,53057,"less precip"
"48.40625_-121.53125",511.938995,2591.6,2759.57,53057,"less precip"
"48.40625_-121.59375",431.625,2303.98,2055.41,53057,"lesser precip"
"48.40625_-121.65625",787.802002,3189.15,2759.57,53057,"less precip"
"48.40625_-121.71875",1242.37,3741.65,3701.32,53057,"most precip"
"48.40625_-121.78125",604.809998,3928.74,3701.32,53057,"most precip"
"48.40625_-121.84375",943.752014,3731.67,3701.32,53057,"most precip"
"48.40625_-121.90625",946.369995,3741.11,3701.32,53057,"most precip"
"48.40625_-121.96875",581.442017,3446.05,3701.32,53057,"most precip"
"48.40625_-122.03125",962.119995,3423.49,3701.32,53057,"most precip"
"48.40625_-122.09375",1013.32001,3576.34,3701.32,53057,"most precip"
"48.40625_-122.15625",588.252014,2333.61,2055.41,53057,"lesser precip"
"48.40625_-122.21875",66.8746033,1256.36,1211.6,53057,"least precip"
"48.40625_-122.28125",122.875,1113.03,1211.6,53057,"least precip"
"48.40625_-122.34375",3,900.71,1211.6,53057,"least precip"
"48.40625_-122.40625",3,810.69,1211.6,53057,"least precip"
"48.40625_-122.46875",3,770.02,1211.6,53057,"least precip"
"48.46875_-121.09375",2019.30005,2237.23,2055.41,53057,"lesser precip"
"48.46875_-121.15625",699.143982,2336.73,2055.41,53057,"lesser precip"
"48.46875_-121.21875",428.184998,2348.72,2055.41,53057,"lesser precip"
"48.46875_-121.28125",1437.76001,2651.99,2759.57,53057,"less precip"
"48.46875_-121.34375",1333.60999,2804.87,2759.57,53057,"less precip"
"48.46875_-121.40625",1234.18005,2690.8,2759.57,53057,"less precip"
"48.46875_-121.46875",492.016998,2473.66,2759.57,53057,"less precip"
"48.46875_-121.53125",122.742996,2095.39,2055.41,53057,"lesser precip"
"48.46875_-121.59375",43.6249008,2042.21,2055.41,53057,"lesser precip"
"48.46875_-121.65625",281.869995,2248.28,2055.41,53057,"lesser precip"
"48.46875_-121.71875",713.130005,2803.68,2759.57,53057,"less precip"
"48.46875_-121.78125",1146.38,3541.04,3701.32,53057,"most precip"
"48.46875_-121.84375",686.312012,3753.42,3701.32,53057,"most precip"
"48.46875_-121.90625",1069.38,3881.95,3701.32,53057,"most precip"
"48.46875_-121.96875",911.872009,3747.91,3701.32,53057,"most precip"
"48.46875_-122.03125",193.182007,2201.24,2055.41,53057,"lesser precip"
"48.46875_-122.09375",421.056,2115.79,2055.41,53057,"lesser precip"
"48.46875_-122.15625",346.928009,1738.46,2055.41,53057,"lesser precip"
"48.46875_-122.21875",131.440994,1333.83,1211.6,53057,"least precip"
"48.46875_-122.28125",11.0625,1100.77,1211.6,53057,"least precip"
"48.46875_-122.34375",6,934.7,1211.6,53057,"least precip"
"48.46875_-122.40625",32.7504997,839.11,1211.6,53057,"least precip"
"48.53125_-120.71875",1839.68005,1493.82,1211.6,53057,"least precip"
"48.53125_-120.78125",1668.94995,1506.76,1211.6,53057,"least precip"
"48.53125_-120.90625",2006.98999,1876.78,2055.41,53057,"lesser precip"
"48.53125_-120.96875",2048.68994,2000.32,2055.41,53057,"lesser precip"
"48.53125_-121.03125",1885.30005,1945.21,2055.41,53057,"lesser precip"
"48.53125_-121.09375",1558.69995,2907.45,2759.57,53057,"less precip"
"48.53125_-121.15625",1511.68994,3237.65,3701.32,53057,"most precip"
"48.53125_-121.21875",1271.62,2668.35,2759.57,53057,"less precip"
"48.53125_-121.28125",374.812012,2420.27,2759.57,53057,"less precip"
"48.53125_-121.34375",388.579987,2305.51,2055.41,53057,"lesser precip"
"48.53125_-121.40625",126.314003,2072,2055.41,53057,"lesser precip"
"48.53125_-121.46875",413.994995,2386.68,2055.41,53057,"lesser precip"
"48.53125_-121.53125",939.562988,2932.48,2759.57,53057,"less precip"
"48.53125_-121.59375",1267.12,3082.43,2759.57,53057,"less precip"
"48.53125_-121.65625",702.434021,2944.63,2759.57,53057,"less precip"
"48.53125_-121.71875",106.943001,2283.18,2055.41,53057,"lesser precip"
"48.53125_-121.78125",66.8118973,2200.72,2055.41,53057,"lesser precip"
"48.53125_-121.84375",61,2213.29,2055.41,53057,"lesser precip"
"48.53125_-121.90625",74.0643997,1880.04,2055.41,53057,"lesser precip"
"48.53125_-121.96875",69.6261978,1712.28,2055.41,53057,"lesser precip"
"48.53125_-122.03125",51.0628014,1555.26,1211.6,53057,"least precip"
"48.53125_-122.09375",70.6271973,1799.49,2055.41,53057,"lesser precip"
"48.53125_-122.15625",74.0650024,1825.91,2055.41,53057,"lesser precip"
"48.53125_-122.21875",58.7499008,1369.48,1211.6,53057,"least precip"
"48.53125_-122.28125",60.1279984,1208.97,1211.6,53057,"least precip"
"48.53125_-122.34375",26.6257,1062.15,1211.6,53057,"least precip"
"48.59375_-120.78125",1727.01001,1397.38,1211.6,53057,"least precip"
"48.59375_-120.84375",1699.43994,1496.74,1211.6,53057,"least precip"
"48.59375_-120.90625",2011.17004,1779.35,2055.41,53057,"lesser precip"
"48.59375_-120.96875",1944.62,1847.37,2055.41,53057,"lesser precip"
"48.59375_-121.03125",842.695007,1962.16,2055.41,53057,"lesser precip"
"48.59375_-121.09375",1954.98999,2530.55,2759.57,53057,"less precip"
"48.59375_-121.15625",1096.18005,2980.09,2759.57,53057,"less precip"
"48.59375_-121.21875",785.377014,2712.13,2759.57,53057,"less precip"
"48.59375_-121.28125",1679.39001,2928,2759.57,53057,"less precip"
"48.59375_-121.34375",832.388977,2341.23,2055.41,53057,"lesser precip"
"48.59375_-121.40625",510.627014,2087.3,2055.41,53057,"lesser precip"
"48.59375_-121.46875",679.224976,2712.76,2759.57,53057,"less precip"
"48.59375_-121.53125",1190.44995,3064.35,2759.57,53057,"less precip"
"48.59375_-121.59375",1336,3131.2,2759.57,53057,"less precip"
"48.59375_-121.65625",930.939026,2981.24,2759.57,53057,"less precip"
"48.59375_-121.71875",178,2567.56,2759.57,53057,"less precip"
"48.59375_-121.78125",418.369995,3173.48,2759.57,53057,"less precip"
"48.59375_-121.84375",1242.51001,3694.84,3701.32,53057,"most precip"
"48.59375_-121.90625",668.176025,2879.41,2759.57,53057,"less precip"
"48.59375_-121.96875",791.237976,2453.51,2759.57,53057,"less precip"
"48.59375_-122.03125",363.613007,2503.95,2759.57,53057,"less precip"
"48.59375_-122.09375",354.117004,2396.05,2055.41,53057,"lesser precip"
"48.59375_-122.15625",1172.81006,3314.15,3701.32,53057,"most precip"
"48.59375_-122.21875",139.626007,1954.38,2055.41,53057,"lesser precip"
"48.59375_-122.28125",121.876999,1781.08,2055.41,53057,"lesser precip"
"48.59375_-122.34375",69.9996033,1375.26,1211.6,53057,"least precip"
"48.65625_-120.78125",2002.18994,1470.38,1211.6,53073,"least precip"
"48.65625_-120.84375",1271.44995,1463.46,1211.6,53057,"least precip"
"48.65625_-120.90625",1547.18994,1751.1,2055.41,53073,"lesser precip"
"48.65625_-120.96875",1964.41003,1865.73,2055.41,53073,"lesser precip"
"48.65625_-121.03125",1177.62,2070.43,2055.41,53073,"lesser precip"
"48.65625_-121.09375",1080.32996,2030.7,2055.41,53073,"lesser precip"
"48.65625_-121.15625",1775.93994,2679.09,2759.57,53073,"less precip"
"48.65625_-121.21875",1038.94995,2439.76,2759.57,53073,"less precip"
"48.65625_-121.28125",209.436996,2178.13,2055.41,53073,"lesser precip"
"48.65625_-121.34375",1092.75,2398.67,2055.41,53073,"lesser precip"
"48.65625_-121.40625",878.825989,2425.47,2759.57,53073,"less precip"
"48.65625_-121.46875",1223.25,2880.61,2759.57,53073,"less precip"
"48.65625_-121.53125",1547,3662.32,3701.32,53073,"most precip"
"48.65625_-121.59375",1472.56006,3415.04,3701.32,53073,"most precip"
"48.65625_-121.65625",728.494019,2866.96,2759.57,53073,"less precip"
"48.65625_-121.71875",374.183014,2807.08,2759.57,53073,"less precip"
"48.65625_-121.78125",1163.62,3621.4,3701.32,53073,"most precip"
"48.65625_-121.84375",861.830994,3746.62,3701.32,53073,"most precip"
"48.65625_-121.90625",973.309021,3763.34,3701.32,53073,"most precip"
"48.65625_-121.96875",1202.69995,4309.87,3701.32,53073,"most precip"
"48.65625_-122.03125",1141.75,3695.52,3701.32,53073,"most precip"
"48.65625_-122.09375",407.06601,2604.15,2759.57,53073,"less precip"
"48.65625_-122.15625",474.681,2161.94,2055.41,53073,"lesser precip"
"48.65625_-122.21875",134.811005,2097.47,2055.41,53073,"lesser precip"
"48.65625_-122.28125",202.434006,2326.69,2055.41,53073,"lesser precip"
"48.65625_-122.34375",388.43399,1907.4,2055.41,53073,"lesser precip"
"48.65625_-122.40625",212.561005,1541.14,1211.6,53073,"least precip"
"48.65625_-122.46875",423.996002,1301.29,1211.6,53073,"least precip"
"48.71875_-120.71875",1912.81006,1299.68,1211.6,53073,"least precip"
"48.71875_-120.78125",1649.19995,1363.99,1211.6,53073,"least precip"
"48.71875_-120.84375",1151.13,1503.67,1211.6,53073,"least precip"
"48.71875_-120.90625",1034.27002,1832.3,2055.41,53073,"lesser precip"
"48.71875_-120.96875",1076.57996,1990.53,2055.41,53073,"lesser precip"
"48.71875_-121.03125",1009.60999,1768.55,2055.41,53073,"lesser precip"
"48.71875_-121.09375",547.008972,1876.97,2055.41,53073,"lesser precip"
"48.71875_-121.15625",520.877991,2455.72,2759.57,53073,"less precip"
"48.71875_-121.21875",1240.57996,2576,2759.57,53073,"less precip"
"48.71875_-121.28125",775.83197,2583.82,2759.57,53073,"less precip"
"48.71875_-121.34375",1054.79004,2460.24,2759.57,53073,"less precip"
"48.71875_-121.40625",903.692017,2808.75,2759.57,53073,"less precip"
"48.71875_-121.46875",1599.93994,3154.19,2759.57,53073,"less precip"
"48.71875_-121.53125",1148.12,3173.27,2759.57,53073,"less precip"
"48.71875_-121.59375",441.803009,2796.47,2759.57,53073,"less precip"
"48.71875_-121.65625",248.686996,2697.65,2759.57,53073,"less precip"
"48.71875_-121.71875",799.304016,3138.08,2759.57,53073,"less precip"
"48.71875_-121.78125",1047.12,3956.95,3701.32,53073,"most precip"
"48.71875_-121.84375",1492.56006,4466.35,3701.32,53073,"most precip"
"48.71875_-121.90625",1046.60999,3793.98,3701.32,53073,"most precip"
"48.71875_-121.96875",1236.30005,3972.27,3701.32,53073,"most precip"
"48.71875_-122.03125",1010.38,3598,3701.32,53073,"most precip"
"48.71875_-122.09375",402.742004,2444.35,2759.57,53073,"less precip"
"48.71875_-122.15625",196.811996,1796.78,2055.41,53073,"lesser precip"
"48.71875_-122.21875",156.369995,1950.32,2055.41,53073,"lesser precip"
"48.71875_-122.28125",571.627991,2458.4,2759.57,53073,"less precip"
"48.71875_-122.34375",162.688004,1727.95,2055.41,53073,"lesser precip"
"48.71875_-122.40625",386.373993,1438.17,1211.6,53073,"least precip"
"48.71875_-122.46875",128.626007,1131.35,1211.6,53073,"least precip"
"48.78125_-120.78125",1401.39001,1314.63,1211.6,53073,"least precip"
"48.78125_-120.84375",1976.10999,1429.22,1211.6,53073,"least precip"
"48.78125_-120.90625",1094.31006,1643.94,2055.41,53073,"lesser precip"
"48.78125_-120.96875",2167.05005,1987.01,2055.41,53073,"lesser precip"
"48.78125_-121.03125",487.375,1585.55,1211.6,53073,"least precip"
"48.78125_-121.09375",988.476013,1987.94,2055.41,53073,"lesser precip"
"48.78125_-121.15625",1436.98999,2540.89,2759.57,53073,"less precip"
"48.78125_-121.21875",1573.64001,2626.31,2759.57,53073,"less precip"
"48.78125_-121.28125",1460.59998,3072.62,2759.57,53073,"less precip"
"48.78125_-121.34375",989.080994,2975.11,2759.57,53073,"less precip"
"48.78125_-121.40625",1344.02002,2632.52,2759.57,53073,"less precip"
"48.78125_-121.46875",980.937988,2446.5,2759.57,53073,"less precip"
"48.78125_-121.53125",378.385986,2512.31,2759.57,53073,"less precip"
"48.78125_-121.59375",1274.89001,2815.44,2759.57,53073,"less precip"
"48.78125_-121.65625",732.395996,2522.91,2759.57,53073,"less precip"
"48.78125_-121.71875",1264.42004,2879.16,2759.57,53073,"less precip"
"48.78125_-121.78125",1849.43005,3548.33,3701.32,53073,"most precip"
"48.78125_-121.84375",2336.73999,4090.59,3701.32,53073,"most precip"
"48.78125_-121.90625",1582.01001,3846.26,3701.32,53073,"most precip"
"48.78125_-121.96875",1394.31006,3464.18,3701.32,53073,"most precip"
"48.78125_-122.03125",618.062012,2730.09,2759.57,53073,"less precip"
"48.78125_-122.09375",362.821991,2079.11,2055.41,53073,"lesser precip"
"48.78125_-122.15625",607.874023,1748.86,2055.41,53073,"lesser precip"
"48.78125_-122.21875",118.063004,1593.9,1211.6,53073,"least precip"
"48.78125_-122.28125",797.247009,2316.15,2055.41,53073,"lesser precip"
"48.78125_-122.34375",170.875,1525.05,1211.6,53073,"least precip"
