"cluster","location","elevation","ann_prec_mean","elev_centriod","prec_centroid"
"1","48.71875_-120.96875",1076.58,1990.53,1473.76,2309.26
"1","48.71875_-121.03125",1009.61,1768.55,1473.76,2309.26
"1","48.71875_-121.21875",1240.58,2576,1473.76,2309.26
"1","48.71875_-121.34375",1054.79,2460.24,1473.76,2309.26
"1","48.78125_-120.78125",1401.39,1314.63,1473.76,2309.26
"1","48.78125_-120.84375",1976.11,1429.22,1473.76,2309.26
"1","48.78125_-120.90625",1094.31,1643.94,1473.76,2309.26
"1","48.78125_-120.96875",2167.05,1987.01,1473.76,2309.26
"1","48.78125_-121.09375",988.48,1987.94,1473.76,2309.26
"1","48.78125_-121.15625",1436.99,2540.89,1473.76,2309.26
"1","48.78125_-121.21875",1573.64,2626.31,1473.76,2309.26
"1","48.78125_-121.40625",1344.02,2632.52,1473.76,2309.26
"1","48.78125_-121.59375",1274.89,2815.44,1473.76,2309.26
"1","48.78125_-121.71875",1264.42,2879.16,1473.76,2309.26
"1","48.84375_-120.78125",1711.69,1327.82,1473.76,2309.26
"1","48.84375_-120.84375",1839.25,1328.18,1473.76,2309.26
"1","48.84375_-120.90625",1752.88,1451.9,1473.76,2309.26
"1","48.84375_-120.96875",1512.05,1686.89,1473.76,2309.26
"1","48.84375_-121.09375",1540.62,2015.42,1473.76,2309.26
"1","48.84375_-121.15625",2096.63,2548.89,1473.76,2309.26
"1","48.84375_-121.28125",1087.73,2822.4,1473.76,2309.26
"1","48.84375_-121.34375",2026.62,3115.13,1473.76,2309.26
"1","48.84375_-121.40625",1193.08,2786.37,1473.76,2309.26
"1","48.84375_-121.46875",1746.82,2754.27,1473.76,2309.26
"1","48.84375_-121.53125",1782.56,3016.48,1473.76,2309.26
"1","48.84375_-121.59375",1829.85,2929.87,1473.76,2309.26
"1","48.84375_-121.65625",1465.69,2753.02,1473.76,2309.26
"1","48.84375_-121.71875",1492.62,2833.6,1473.76,2309.26
"1","48.84375_-121.78125",1090.12,2342.11,1473.76,2309.26
"1","48.84375_-121.84375",1671.12,2435.24,1473.76,2309.26
"1","48.84375_-121.96875",1153.81,2515.22,1473.76,2309.26
"1","48.90625_-120.78125",1765.76,1306.27,1473.76,2309.26
"1","48.90625_-120.90625",1246.19,1293.99,1473.76,2309.26
"1","48.90625_-121.15625",1293.67,2285.41,1473.76,2309.26
"1","48.90625_-121.28125",1673.52,2545.62,1473.76,2309.26
"1","48.90625_-121.34375",1624.42,2808.98,1473.76,2309.26
"1","48.90625_-121.40625",1243.57,2439.4,1473.76,2309.26
"1","48.90625_-121.46875",1624,2641.93,1473.76,2309.26
"1","48.90625_-121.59375",1390.73,2945.35,1473.76,2309.26
"1","48.96875_-120.90625",1539.69,1292.89,1473.76,2309.26
"1","48.96875_-121.15625",1125.55,2143.51,1473.76,2309.26
"1","48.96875_-121.21875",1735.98,2544.37,1473.76,2309.26
"1","48.96875_-121.28125",1650.67,2683.9,1473.76,2309.26
"1","48.96875_-121.34375",1742.01,2591.29,1473.76,2309.26
"1","48.96875_-121.40625",1304.94,2040.11,1473.76,2309.26
"1","48.96875_-121.46875",1243.68,2726.56,1473.76,2309.26
"1","48.96875_-121.53125",1505.19,2730.92,1473.76,2309.26
"1","48.96875_-121.59375",1149.68,2530.81,1473.76,2309.26
"1","48.96875_-121.65625",1564.57,2805.74,1473.76,2309.26
"1","48.96875_-121.71875",1295.96,2323.7,1473.76,2309.26
"1","48.96875_-121.78125",1296.43,2056.11,1473.76,2309.26
"1","48.96875_-121.84375",1085.75,2225.39,1473.76,2309.26
"1","48.96875_-121.90625",1005.32,2424.03,1473.76,2309.26
"1","48.96875_-121.96875",1295.13,2453.22,1473.76,2309.26
"1","48.96875_-122.03125",1260.32,1882.21,1473.76,2309.26
"2","47.78125_-121.34375",1263.25,3034.53,1054.91,3512.17
"2","47.78125_-121.40625",1031.64,3285.23,1054.91,3512.17
"2","47.78125_-121.46875",740.02,3300.53,1054.91,3512.17
"2","47.78125_-121.53125",827.98,3048.77,1054.91,3512.17
"2","47.78125_-121.59375",869.62,3451.69,1054.91,3512.17
"2","47.78125_-121.65625",669.69,3328.86,1054.91,3512.17
"2","47.78125_-121.71875",1151.12,3614.37,1054.91,3512.17
"2","47.84375_-121.40625",1403.27,3324.89,1054.91,3512.17
"2","47.84375_-121.46875",1114.62,3450.07,1054.91,3512.17
"2","47.84375_-121.53125",896.18,3493.57,1054.91,3512.17
"2","47.84375_-121.59375",469.82,3565.74,1054.91,3512.17
"2","47.90625_-121.34375",1417.31,3003.94,1054.91,3512.17
"2","47.90625_-121.40625",868.06,3203.39,1054.91,3512.17
"2","47.90625_-121.46875",616.7,3565.22,1054.91,3512.17
"2","47.90625_-121.53125",1167.18,4216.05,1054.91,3512.17
"2","47.90625_-121.59375",1213.74,4254.86,1054.91,3512.17
"2","47.90625_-121.65625",1005.95,3617.83,1054.91,3512.17
"2","47.96875_-121.34375",1847.45,3222.06,1054.91,3512.17
"2","47.96875_-121.40625",1250.26,3688.04,1054.91,3512.17
"2","47.96875_-121.46875",1315.76,4257.52,1054.91,3512.17
"2","47.96875_-121.53125",868.58,4117.52,1054.91,3512.17
"2","47.96875_-121.59375",708.05,3646,1054.91,3512.17
"2","47.96875_-121.65625",444.24,3469.68,1054.91,3512.17
"2","48.03125_-121.34375",1704.88,3161.72,1054.91,3512.17
"2","48.03125_-121.40625",1177.56,3550.68,1054.91,3512.17
"2","48.03125_-121.46875",954.06,3854.17,1054.91,3512.17
"2","48.03125_-121.53125",1057.38,4231.33,1054.91,3512.17
"2","48.03125_-121.59375",1045.07,3966.86,1054.91,3512.17
"2","48.03125_-121.65625",847.69,3693.5,1054.91,3512.17
"2","48.03125_-121.71875",853.69,3594.24,1054.91,3512.17
"2","48.03125_-121.78125",532.7,3315.13,1054.91,3512.17
"2","48.09375_-121.40625",581.24,3072.14,1054.91,3512.17
"2","48.09375_-121.46875",1439.25,3767.86,1054.91,3512.17
"2","48.09375_-121.53125",666.63,4028.07,1054.91,3512.17
"2","48.09375_-121.59375",1245.19,3982.44,1054.91,3512.17
"2","48.09375_-121.65625",801.07,3780.62,1054.91,3512.17
"2","48.09375_-121.71875",591.38,3589.69,1054.91,3512.17
"2","48.09375_-121.78125",312.44,3218.63,1054.91,3512.17
"2","48.15625_-121.34375",961,2916.32,1054.91,3512.17
"2","48.15625_-121.40625",1089.38,3076.26,1054.91,3512.17
"2","48.15625_-121.53125",977.81,3360.95,1054.91,3512.17
"2","48.15625_-121.59375",706.18,3639.79,1054.91,3512.17
"2","48.15625_-121.65625",928.44,4187.14,1054.91,3512.17
"2","48.15625_-121.71875",1110.33,4150.13,1054.91,3512.17
"2","48.15625_-121.78125",467.95,3398.02,1054.91,3512.17
"2","48.15625_-121.84375",763.26,3269.88,1054.91,3512.17
"2","48.21875_-121.40625",1434.62,3056.83,1054.91,3512.17
"2","48.21875_-121.46875",945.06,3174.76,1054.91,3512.17
"2","48.21875_-121.65625",1066.55,3267.28,1054.91,3512.17
"2","48.21875_-121.71875",1117.01,3954.77,1054.91,3512.17
"2","48.21875_-121.78125",532.8,3571.86,1054.91,3512.17
"2","48.21875_-121.84375",800.31,3292,1054.91,3512.17
"2","48.21875_-121.90625",880.44,3018.27,1054.91,3512.17
"2","48.34375_-121.34375",1309.61,2990.09,1054.91,3512.17
"2","48.34375_-121.65625",712.93,3370.09,1054.91,3512.17
"2","48.34375_-121.71875",1138.94,4080.05,1054.91,3512.17
"2","48.34375_-121.78125",1103.26,3985.21,1054.91,3512.17
"2","48.34375_-121.84375",1087.5,3657,1054.91,3512.17
"2","48.34375_-121.90625",851.62,2986.51,1054.91,3512.17
"2","48.40625_-121.28125",1995.43,3197.32,1054.91,3512.17
"2","48.40625_-121.34375",995.83,3047.65,1054.91,3512.17
"2","48.40625_-121.65625",787.8,3189.15,1054.91,3512.17
"2","48.40625_-121.71875",1242.37,3741.65,1054.91,3512.17
"2","48.40625_-121.78125",604.81,3928.74,1054.91,3512.17
"2","48.40625_-121.84375",943.75,3731.67,1054.91,3512.17
"2","48.40625_-121.90625",946.37,3741.11,1054.91,3512.17
"2","48.40625_-121.96875",581.44,3446.05,1054.91,3512.17
"2","48.40625_-122.03125",962.12,3423.49,1054.91,3512.17
"2","48.40625_-122.09375",1013.32,3576.34,1054.91,3512.17
"2","48.46875_-121.78125",1146.38,3541.04,1054.91,3512.17
"2","48.46875_-121.84375",686.31,3753.42,1054.91,3512.17
"2","48.46875_-121.90625",1069.38,3881.95,1054.91,3512.17
"2","48.46875_-121.96875",911.87,3747.91,1054.91,3512.17
"2","48.53125_-121.15625",1511.69,3237.65,1054.91,3512.17
"2","48.53125_-121.53125",939.56,2932.48,1054.91,3512.17
"2","48.53125_-121.59375",1267.12,3082.43,1054.91,3512.17
"2","48.59375_-121.15625",1096.18,2980.09,1054.91,3512.17
"2","48.59375_-121.53125",1190.45,3064.35,1054.91,3512.17
"2","48.59375_-121.59375",1336,3131.2,1054.91,3512.17
"2","48.59375_-121.65625",930.94,2981.24,1054.91,3512.17
"2","48.59375_-121.78125",418.37,3173.48,1054.91,3512.17
"2","48.59375_-121.84375",1242.51,3694.84,1054.91,3512.17
"2","48.59375_-122.15625",1172.81,3314.15,1054.91,3512.17
"2","48.65625_-121.53125",1547,3662.32,1054.91,3512.17
"2","48.65625_-121.59375",1472.56,3415.04,1054.91,3512.17
"2","48.65625_-121.78125",1163.62,3621.4,1054.91,3512.17
"2","48.65625_-121.84375",861.83,3746.62,1054.91,3512.17
"2","48.65625_-121.90625",973.31,3763.34,1054.91,3512.17
"2","48.65625_-121.96875",1202.7,4309.87,1054.91,3512.17
"2","48.65625_-122.03125",1141.75,3695.52,1054.91,3512.17
"2","48.71875_-121.46875",1599.94,3154.19,1054.91,3512.17
"2","48.71875_-121.53125",1148.12,3173.27,1054.91,3512.17
"2","48.71875_-121.71875",799.3,3138.08,1054.91,3512.17
"2","48.71875_-121.78125",1047.12,3956.95,1054.91,3512.17
"2","48.71875_-121.84375",1492.56,4466.35,1054.91,3512.17
"2","48.71875_-121.90625",1046.61,3793.98,1054.91,3512.17
"2","48.71875_-121.96875",1236.3,3972.27,1054.91,3512.17
"2","48.71875_-122.03125",1010.38,3598,1054.91,3512.17
"2","48.78125_-121.28125",1460.6,3072.62,1054.91,3512.17
"2","48.78125_-121.34375",989.08,2975.11,1054.91,3512.17
"2","48.78125_-121.78125",1849.43,3548.33,1054.91,3512.17
"2","48.78125_-121.84375",2336.74,4090.59,1054.91,3512.17
"2","48.78125_-121.90625",1582.01,3846.26,1054.91,3512.17
"2","48.78125_-121.96875",1394.31,3464.18,1054.91,3512.17
"2","48.84375_-122.03125",1183.31,2969.52,1054.91,3512.17
"2","48.90625_-121.53125",1333.69,2946.03,1054.91,3512.17
"3","47.78125_-121.84375",190.12,1601.1,150.17,1293.84
"3","47.78125_-121.90625",265.94,1516.81,150.17,1293.84
"3","47.78125_-121.96875",61.38,1310.66,150.17,1293.84
"3","47.78125_-122.03125",147.25,1273.57,150.17,1293.84
"3","47.78125_-122.09375",122,1223.33,150.17,1293.84
"3","47.78125_-122.15625",66.31,1092.07,150.17,1293.84
"3","47.78125_-122.21875",61.94,1042.72,150.17,1293.84
"3","47.78125_-122.28125",121.94,1027.61,150.17,1293.84
"3","47.78125_-122.34375",122,1015.58,150.17,1293.84
"3","47.84375_-121.78125",113,1753.15,150.17,1293.84
"3","47.84375_-121.84375",65.5,1437.47,150.17,1293.84
"3","47.84375_-121.90625",93.18,1392.56,150.17,1293.84
"3","47.84375_-121.96875",55.94,1288.06,150.17,1293.84
"3","47.84375_-122.03125",116.75,1245.32,150.17,1293.84
"3","47.84375_-122.09375",63.25,1193.53,150.17,1293.84
"3","47.84375_-122.15625",126.5,1106.47,150.17,1293.84
"3","47.84375_-122.21875",104.88,1039.43,150.17,1293.84
"3","47.84375_-122.28125",152.38,993.25,150.17,1293.84
"3","47.84375_-122.34375",21.44,964.21,150.17,1293.84
"3","47.90625_-121.84375",197.56,1701.27,150.17,1293.84
"3","47.90625_-121.90625",84.13,1442.31,150.17,1293.84
"3","47.90625_-121.96875",157.75,1412.14,150.17,1293.84
"3","47.90625_-122.03125",62.81,1268.01,150.17,1293.84
"3","47.90625_-122.09375",35.5,1129.68,150.17,1293.84
"3","47.90625_-122.15625",43.25,1012.67,150.17,1293.84
"3","47.90625_-122.21875",149.19,990.49,150.17,1293.84
"3","47.96875_-121.90625",197.63,1711.04,150.17,1293.84
"3","47.96875_-121.96875",122,1527.41,150.17,1293.84
"3","47.96875_-122.03125",96.25,1299.72,150.17,1293.84
"3","47.96875_-122.09375",104.56,1181.17,150.17,1293.84
"3","47.96875_-122.15625",57.31,985.7,150.17,1293.84
"3","47.96875_-122.21875",63,969.35,150.17,1293.84
"3","48.03125_-121.96875",231.31,1594.68,150.17,1293.84
"3","48.03125_-122.03125",65.94,1321.68,150.17,1293.84
"3","48.03125_-122.09375",112.75,1260.19,150.17,1293.84
"3","48.03125_-122.15625",6,1041.07,150.17,1293.84
"3","48.09375_-121.96875",100.69,1602.96,150.17,1293.84
"3","48.09375_-122.03125",119.81,1337.72,150.17,1293.84
"3","48.09375_-122.09375",125.25,1377.08,150.17,1293.84
"3","48.09375_-122.15625",20.75,1130.45,150.17,1293.84
"3","48.09375_-122.21875",86.87,1059.38,150.17,1293.84
"3","48.15625_-122.03125",113.25,1564.79,150.17,1293.84
"3","48.15625_-122.09375",152.19,1356.6,150.17,1293.84
"3","48.15625_-122.15625",42.38,1187.01,150.17,1293.84
"3","48.15625_-122.21875",42.94,1126.68,150.17,1293.84
"3","48.15625_-122.28125",126.5,1058.37,150.17,1293.84
"3","48.15625_-122.34375",83.69,937.17,150.17,1293.84
"3","48.21875_-122.03125",242.38,1682.83,150.17,1293.84
"3","48.21875_-122.09375",64.75,1252.78,150.17,1293.84
"3","48.21875_-122.15625",49.25,1209.92,150.17,1293.84
"3","48.21875_-122.21875",39.13,1179.65,150.17,1293.84
"3","48.21875_-122.28125",39.19,1061.45,150.17,1293.84
"3","48.21875_-122.34375",3.06,910.23,150.17,1293.84
"3","48.28125_-121.96875",129.19,1704.99,150.17,1293.84
"3","48.28125_-122.03125",136.01,1716.32,150.17,1293.84
"3","48.28125_-122.15625",188.13,1438.11,150.17,1293.84
"3","48.28125_-122.21875",196.31,1342.51,150.17,1293.84
"3","48.28125_-122.28125",103.88,1200.05,150.17,1293.84
"3","48.28125_-122.34375",62.25,950.03,150.17,1293.84
"3","48.34375_-122.15625",268.69,1676.07,150.17,1293.84
"3","48.34375_-122.21875",150.94,1359.33,150.17,1293.84
"3","48.34375_-122.28125",211.57,1361.32,150.17,1293.84
"3","48.34375_-122.34375",3,917.59,150.17,1293.84
"3","48.40625_-122.21875",66.87,1256.36,150.17,1293.84
"3","48.40625_-122.28125",122.88,1113.03,150.17,1293.84
"3","48.40625_-122.34375",3,900.71,150.17,1293.84
"3","48.40625_-122.40625",3,810.69,150.17,1293.84
"3","48.40625_-122.46875",3,770.02,150.17,1293.84
"3","48.46875_-122.15625",346.93,1738.46,150.17,1293.84
"3","48.46875_-122.21875",131.44,1333.83,150.17,1293.84
"3","48.46875_-122.28125",11.06,1100.77,150.17,1293.84
"3","48.46875_-122.34375",6,934.7,150.17,1293.84
"3","48.46875_-122.40625",32.75,839.11,150.17,1293.84
"3","48.53125_-121.90625",74.06,1880.04,150.17,1293.84
"3","48.53125_-121.96875",69.63,1712.28,150.17,1293.84
"3","48.53125_-122.03125",51.06,1555.26,150.17,1293.84
"3","48.53125_-122.09375",70.63,1799.49,150.17,1293.84
"3","48.53125_-122.15625",74.07,1825.91,150.17,1293.84
"3","48.53125_-122.21875",58.75,1369.48,150.17,1293.84
"3","48.53125_-122.28125",60.13,1208.97,150.17,1293.84
"3","48.53125_-122.34375",26.63,1062.15,150.17,1293.84
"3","48.59375_-122.28125",121.88,1781.08,150.17,1293.84
"3","48.59375_-122.34375",70,1375.26,150.17,1293.84
"3","48.65625_-122.40625",212.56,1541.14,150.17,1293.84
"3","48.65625_-122.46875",424,1301.29,150.17,1293.84
"3","48.71875_-122.15625",196.81,1796.78,150.17,1293.84
"3","48.71875_-122.34375",162.69,1727.95,150.17,1293.84
"3","48.71875_-122.40625",386.37,1438.17,150.17,1293.84
"3","48.71875_-122.46875",128.63,1131.35,150.17,1293.84
"3","48.78125_-121.03125",487.38,1585.55,150.17,1293.84
"3","48.78125_-122.15625",607.87,1748.86,150.17,1293.84
"3","48.78125_-122.21875",118.06,1593.9,150.17,1293.84
"3","48.78125_-122.34375",170.88,1525.05,150.17,1293.84
"3","48.78125_-122.40625",171.62,1204.85,150.17,1293.84
"3","48.78125_-122.46875",36.63,986.71,150.17,1293.84
"3","48.78125_-122.53125",36.38,894.91,150.17,1293.84
"3","48.78125_-122.59375",3.56,857.57,150.17,1293.84
"3","48.84375_-121.03125",504.44,1478.71,150.17,1293.84
"3","48.84375_-122.15625",100.88,1637.66,150.17,1293.84
"3","48.84375_-122.28125",52.56,1504.21,150.17,1293.84
"3","48.84375_-122.34375",61.5,1154.35,150.17,1293.84
"3","48.84375_-122.40625",62.94,1062.96,150.17,1293.84
"3","48.84375_-122.46875",52.12,1020.59,150.17,1293.84
"3","48.84375_-122.53125",28.06,942.37,150.17,1293.84
"3","48.84375_-122.59375",10.13,881.87,150.17,1293.84
"3","48.84375_-122.65625",53.38,929.9,150.17,1293.84
"3","48.90625_-120.84375",1197.51,1271.75,150.17,1293.84
"3","48.90625_-120.96875",958.7,1411.93,150.17,1293.84
"3","48.90625_-121.03125",1103.01,1315.13,150.17,1293.84
"3","48.90625_-121.09375",874.87,1376.45,150.17,1293.84
"3","48.90625_-122.09375",164.88,1672.09,150.17,1293.84
"3","48.90625_-122.15625",231.25,1672.23,150.17,1293.84
"3","48.90625_-122.28125",51.38,1408.07,150.17,1293.84
"3","48.90625_-122.34375",25.12,1137.54,150.17,1293.84
"3","48.90625_-122.40625",23.88,1168.26,150.17,1293.84
"3","48.90625_-122.46875",17.62,1181.99,150.17,1293.84
"3","48.90625_-122.53125",12.44,1133.3,150.17,1293.84
"3","48.90625_-122.59375",24,1083.9,150.17,1293.84
"3","48.90625_-122.65625",35.94,1069.52,150.17,1293.84
"3","48.90625_-122.71875",35.56,1072.27,150.17,1293.84
"3","48.96875_-120.96875",1082.31,1249.27,150.17,1293.84
"3","48.96875_-121.03125",886.44,1248.61,150.17,1293.84
"3","48.96875_-121.09375",487,1119.94,150.17,1293.84
"3","48.96875_-122.09375",500.12,1642.96,150.17,1293.84
"3","48.96875_-122.15625",175,1583,150.17,1293.84
"3","48.96875_-122.21875",142.25,1512.5,150.17,1293.84
"3","48.96875_-122.28125",15,1181.6,150.17,1293.84
"3","48.96875_-122.34375",26.81,1213.83,150.17,1293.84
"3","48.96875_-122.40625",43.06,1310.27,150.17,1293.84
"3","48.96875_-122.46875",44.63,1338.02,150.17,1293.84
"3","48.96875_-122.53125",44.25,1328.42,150.17,1293.84
"3","48.96875_-122.59375",40.44,1301.47,150.17,1293.84
"3","48.96875_-122.65625",31.13,1276.78,150.17,1293.84
"3","48.96875_-122.71875",5.44,1136.9,150.17,1293.84
"3","49.03125_-122.46875",91,1580.07,150.17,1293.84
"3","49.03125_-122.53125",81.38,1498.27,150.17,1293.84
"3","49.03125_-122.59375",91,1414.49,150.17,1293.84
"3","49.03125_-122.65625",60.56,1346.17,150.17,1293.84
"3","49.03125_-122.71875",36,1206.18,150.17,1293.84
"4","47.78125_-121.28125",875.43,2568.9,479.87,2401.88
"4","47.78125_-121.78125",576.25,2501.51,479.87,2401.88
"4","47.84375_-121.65625",98.06,2284.31,479.87,2401.88
"4","47.84375_-121.71875",101.62,2183.25,479.87,2401.88
"4","47.90625_-121.28125",959.26,2660.13,479.87,2401.88
"4","47.90625_-121.71875",237.06,2489.19,479.87,2401.88
"4","47.90625_-121.78125",243.94,1973.5,479.87,2401.88
"4","47.96875_-121.71875",412.86,2966.57,479.87,2401.88
"4","47.96875_-121.78125",364.37,2612,479.87,2401.88
"4","47.96875_-121.84375",266.25,2292.32,479.87,2401.88
"4","48.03125_-121.84375",259.44,2744.75,479.87,2401.88
"4","48.03125_-121.90625",234.31,1912.41,479.87,2401.88
"4","48.09375_-121.34375",636.49,2978,479.87,2401.88
"4","48.09375_-121.84375",397.56,2688.19,479.87,2401.88
"4","48.09375_-121.90625",320.19,1982.98,479.87,2401.88
"4","48.15625_-121.28125",763.81,2731.53,479.87,2401.88
"4","48.15625_-121.46875",706.29,2974.16,479.87,2401.88
"4","48.15625_-121.90625",676.38,2820.57,479.87,2401.88
"4","48.15625_-121.96875",549.56,2593.38,479.87,2401.88
"4","48.21875_-121.15625",714.81,2359.53,479.87,2401.88
"4","48.21875_-121.28125",846.49,2695.61,479.87,2401.88
"4","48.21875_-121.53125",641.32,2839.04,479.87,2401.88
"4","48.21875_-121.59375",509.74,2938.21,479.87,2401.88
"4","48.21875_-121.96875",186.06,2116.61,479.87,2401.88
"4","48.28125_-121.09375",916.01,2248.3,479.87,2401.88
"4","48.28125_-121.34375",927.71,2691.48,479.87,2401.88
"4","48.28125_-121.40625",260.75,2487.81,479.87,2401.88
"4","48.28125_-121.53125",173.94,2277.28,479.87,2401.88
"4","48.28125_-121.59375",207.51,2545.45,479.87,2401.88
"4","48.28125_-121.65625",192.44,2469.04,479.87,2401.88
"4","48.28125_-121.71875",154.25,2548.79,479.87,2401.88
"4","48.28125_-121.78125",164.63,2555.23,479.87,2401.88
"4","48.28125_-121.84375",139.44,2315.8,479.87,2401.88
"4","48.28125_-121.90625",119.25,1984.48,479.87,2401.88
"4","48.28125_-122.09375",352.13,1882.67,479.87,2401.88
"4","48.34375_-121.28125",872.62,2860.51,479.87,2401.88
"4","48.34375_-121.40625",801.7,2674.92,479.87,2401.88
"4","48.34375_-121.46875",399.68,2496.08,479.87,2401.88
"4","48.34375_-121.53125",121.75,2136.21,479.87,2401.88
"4","48.34375_-121.59375",844.18,2791.53,479.87,2401.88
"4","48.34375_-121.96875",358.62,2326.76,479.87,2401.88
"4","48.34375_-122.03125",372.5,2156.88,479.87,2401.88
"4","48.34375_-122.09375",276.75,2145.68,479.87,2401.88
"4","48.40625_-121.53125",511.94,2591.6,479.87,2401.88
"4","48.40625_-121.59375",431.62,2303.98,479.87,2401.88
"4","48.40625_-122.15625",588.25,2333.61,479.87,2401.88
"4","48.46875_-121.15625",699.14,2336.73,479.87,2401.88
"4","48.46875_-121.21875",428.18,2348.72,479.87,2401.88
"4","48.46875_-121.46875",492.02,2473.66,479.87,2401.88
"4","48.46875_-121.53125",122.74,2095.39,479.87,2401.88
"4","48.46875_-121.59375",43.62,2042.21,479.87,2401.88
"4","48.46875_-121.65625",281.87,2248.28,479.87,2401.88
"4","48.46875_-121.71875",713.13,2803.68,479.87,2401.88
