OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
11,c43b188b,02/01/1995 08:00:00 AM,Wednesday,Feb,1,1995,8,3,6,2009,RAPE,FELONY,G,83,BROOKLYN,N.Y. POLICE DEPT,1006965,193571,"(40.697963515, -73.9180833619999)"
12,81770cd9,02/01/1996 03:00:00 PM,Thursday,Feb,1,1996,15,8,7,2007,GRAND LARCENY,FELONY,B,71,BROOKLYN,N.Y. POLICE DEPT,997457,181411,"(40.664606373, -73.9523962929999)"
13,cb5b6e80,04/15/1998 09:00:00 AM,Wednesday,Apr,15,1998,9,12,7,2006,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. POLICE DEPT,1018182,239891,"(40.82506399, -73.8773972609999)"
14,fa2de4a8,11/09/1998 08:00:00 AM,Monday,Nov,9,1998,8,4,22,2006,GRAND LARCENY,FELONY,A,30,MANHATTAN,N.Y. POLICE DEPT,996889,239161,"(40.8231164790001, -73.954335162)"
15,20a353dd,12/21/1998 12:00:00 AM,Monday,Dec,21,1998,0,3,9,2007,GRAND LARCENY,FELONY,M,44,BRONX,N.Y. POLICE DEPT,1004850,244753,"(40.838449934, -73.925553911)"
16,875e9b22,04/15/1999 09:00:00 AM,Thursday,Apr,15,1999,9,4,7,2010,GRAND LARCENY,FELONY,D,73,BROOKLYN,N.Y. POLICE DEPT,1007783,185486,"(40.6757699120001, -73.9151616139999)"
17,4e7b80e0,11/09/1999 08:00:00 AM,Tuesday,Nov,9,1999,8,5,23,2008,GRAND LARCENY,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1021767,245307,"(40.839914838, -73.864413554)"
18,9d617db6,01/09/2000 08:00:00 PM,Sunday,Jan,9,2000,20,11,6,2006,RAPE,FELONY,G,108,QUEENS,N.Y. POLICE DEPT,996793,210001,"(40.7430801680001, -73.954736461)"
19,6d81a2b9,01/09/2000 09:30:00 PM,Sunday,Jan,9,2000,21,1,9,2006,ROBBERY,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1024562,263549,"(40.8899712210001, -73.854202605)"
20,f7d373fa,02/11/2000 10:00:00 AM,Friday,Feb,11,2000,10,1,10,2006,GRAND LARCENY,FELONY,K,43,BRONX,N.Y. POLICE DEPT,1023266,244631,"(40.838052921, -73.859000051)"
