lat,lon,cellid,stateid,apple,pears,walnut
42.90625,-72.71875,268533,50,0.000061,0.000000,0.000000
42.90625,-72.65625,268534,50,0.000031,0.000000,0.000000
42.90625,-72.59375,268535,50,0.002411,0.000000,0.000000
42.90625,-72.53125,268536,33,0.001740,0.000000,0.000000
42.90625,-72.46875,268537,33,0.000366,0.000000,0.000000
42.90625,-72.40625,268538,33,0.000168,0.000000,0.000000
42.90625,-72.34375,268539,33,0.000336,0.000000,0.000000
42.90625,-72.21875,268541,33,0.000122,0.000000,0.000000
42.90625,-71.96875,268545,33,0.001190,0.000000,0.000000
42.90625,-71.90625,268546,33,0.000046,0.000000,0.000000
42.90625,-71.84375,268547,33,0.000061,0.000000,0.000000
42.90625,-71.78125,268548,33,0.000076,0.000000,0.000000
42.90625,-71.71875,268549,33,0.000229,0.000000,0.000000
42.90625,-71.65625,268550,33,0.000351,0.000000,0.000000
42.90625,-71.59375,268551,33,0.000107,0.000000,0.000000
42.90625,-71.53125,268552,33,0.000168,0.000000,0.000000
42.90625,-71.46875,268553,33,0.001236,0.000000,0.000000
42.90625,-71.40625,268554,33,0.001602,0.000000,0.000000
42.90625,-71.34375,268555,33,0.001785,0.000000,0.000000
42.90625,-71.28125,268556,33,0.003845,0.000000,0.000000
42.90625,-71.21875,268557,33,0.001160,0.000000,0.000000
42.90625,-71.03125,268560,33,0.000275,0.000000,0.000000
42.90625,-70.96875,268561,33,0.000671,0.000000,0.000000
42.90625,-70.90625,268562,33,0.021179,0.000000,0.000000
42.90625,-70.84375,268563,33,0.000702,0.000000,0.000000
42.84375,-116.15625,266902,16,0.000061,0.000000,0.000000
42.84375,-90.90625,267306,55,0.000015,0.000000,0.000000
42.84375,-90.84375,267307,55,0.000061,0.000000,0.000000
42.84375,-89.90625,267322,55,0.000381,0.000000,0.000000
42.84375,-88.84375,267339,55,0.000229,0.000000,0.000000
42.84375,-88.71875,267341,55,0.000015,0.000000,0.000000
42.84375,-88.15625,267350,55,0.000015,0.000000,0.000000
42.84375,-88.09375,267351,55,0.000275,0.000000,0.000000
42.84375,-87.96875,267353,55,0.000015,0.000000,0.000000
42.84375,-86.15625,267382,26,0.000656,0.000000,0.000000
42.84375,-86.09375,267383,26,0.000427,0.000000,0.000000
42.84375,-86.03125,267384,26,0.000824,0.000000,0.000000
42.84375,-85.96875,267385,26,0.001923,0.000000,0.000000
42.84375,-85.90625,267386,26,0.002945,0.000000,0.000000
42.84375,-85.84375,267387,26,0.001450,0.000000,0.000000
42.84375,-85.78125,267388,26,0.001709,0.000000,0.000000
42.84375,-85.71875,267389,26,0.001434,0.000000,0.000000
42.84375,-85.65625,267390,26,0.000381,0.000000,0.000000
42.84375,-85.59375,267391,26,0.002258,0.000000,0.000000
42.84375,-85.53125,267392,26,0.000381,0.000000,0.000000
42.84375,-85.46875,267393,26,0.000214,0.000000,0.000000
42.84375,-85.40625,267394,26,0.001160,0.000000,0.000000
42.84375,-85.34375,267395,26,0.000565,0.000000,0.000000
42.84375,-85.28125,267396,26,0.000748,0.000031,0.000000
42.84375,-85.21875,267397,26,0.002991,0.000000,0.000000
42.84375,-85.15625,267398,26,0.000656,0.000000,0.000000
42.84375,-85.09375,267399,26,0.000122,0.000000,0.000000
