"location","elevation","state_fips","state","lat","long","biofix"
"36.46875_-119.65625",81.9,"06","CA",36.46875,-119.65625,216.54288640625
"36.46875_-119.71875",78.3,"06","CA",36.46875,-119.71875,216.66780640625
"36.46875_-119.78125",73.4,"06","CA",36.46875,-119.78125,216.83783640625
"36.46875_-119.84375",69.4,"06","CA",36.46875,-119.84375,216.97663640625
"36.46875_-119.90625",65.2,"06","CA",36.46875,-119.90625,217.12237640625
"36.46875_-119.96875",61.3,"06","CA",36.46875,-119.96875,217.25770640625
"36.46875_-120.40625",153.9,"06","CA",36.46875,-120.40625,214.04448640625
"36.46875_-121.34375",144.8,"06","CA",36.46875,-121.34375,214.36025640625
"36.46875_-121.40625",57.2,"06","CA",36.46875,-121.40625,217.39997640625
"36.53125_-119.28125",116.1,"06","CA",36.53125,-119.28125,214.26683390625
"36.53125_-119.34375",108.4,"06","CA",36.53125,-119.34375,214.53402390625
"36.53125_-119.40625",101.1,"06","CA",36.53125,-119.40625,214.78733390625
"36.53125_-119.46875",97.9,"06","CA",36.53125,-119.46875,214.89837390625
"36.53125_-119.53125",96.2,"06","CA",36.53125,-119.53125,214.95736390625
"36.53125_-119.59375",92.8,"06","CA",36.53125,-119.59375,215.07534390625
"36.53125_-119.65625",87.7,"06","CA",36.53125,-119.65625,215.25231390625
"36.53125_-119.71875",83,"06","CA",36.53125,-119.71875,215.41540390625
"36.53125_-119.78125",79.2,"06","CA",36.53125,-119.78125,215.54726390625
"36.53125_-119.84375",74.6,"06","CA",36.53125,-119.84375,215.70688390625
"36.53125_-119.90625",68.7,"06","CA",36.53125,-119.90625,215.91161390625
"36.53125_-119.96875",63.3,"06","CA",36.53125,-119.96875,216.09899390625
"36.53125_-120.03125",58.3,"06","CA",36.53125,-120.03125,216.27249390625
"36.53125_-121.40625",140.7,"06","CA",36.53125,-121.40625,213.41321390625
"36.53125_-121.46875",43.6,"06","CA",36.53125,-121.46875,216.78258390625
"36.53125_-121.53125",112.8,"06","CA",36.53125,-121.53125,214.38134390625
"36.59375_-119.34375",129.2,"06","CA",36.59375,-119.34375,212.72823265625
