"location","fips","st_county"
"38.21875_-121.09375",6077,"CA_San Joaquin "
"38.21875_-121.15625",6077,"CA_San Joaquin "
"38.21875_-121.21875",6077,"CA_San Joaquin "
"38.21875_-121.28125",6077,"CA_San Joaquin "
"38.21875_-121.34375",6077,"CA_San Joaquin "
"38.21875_-121.40625",6077,"CA_San Joaquin "
"38.21875_-121.46875",6077,"CA_San Joaquin "
"38.21875_-121.53125",6067,"CA_Sacramento "
"38.21875_-121.59375",6067,"CA_Sacramento "
"38.21875_-121.65625",6095,"CA_Solano "
"38.28125_-120.96875",6005,"CA_Amador "
"38.28125_-121.09375",6077,"CA_San Joaquin "
"38.28125_-121.15625",6067,"CA_Sacramento "
"38.28125_-121.21875",6067,"CA_Sacramento "
"38.28125_-121.28125",6067,"CA_Sacramento "
"38.28125_-121.34375",6067,"CA_Sacramento "
"38.28125_-121.40625",6067,"CA_Sacramento "
"38.28125_-121.46875",6067,"CA_Sacramento "
"38.28125_-121.53125",6067,"CA_Sacramento "
"38.28125_-121.59375",6067,"CA_Sacramento "
"38.28125_-121.65625",6095,"CA_Solano "
"38.34375_-121.28125",6067,"CA_Sacramento "
"38.34375_-121.34375",6067,"CA_Sacramento "
"38.34375_-121.40625",6067,"CA_Sacramento "
"38.34375_-121.53125",6067,"CA_Sacramento "
"38.34375_-121.59375",6113,"CA_Yolo "
"38.40625_-121.28125",6067,"CA_Sacramento "
"38.40625_-121.34375",6067,"CA_Sacramento "
"38.40625_-121.53125",6113,"CA_Yolo "
"38.40625_-121.90625",6095,"CA_Solano "
"38.46875_-121.15625",6067,"CA_Sacramento "
"38.46875_-121.21875",6067,"CA_Sacramento "
"38.46875_-121.28125",6067,"CA_Sacramento "
"38.46875_-121.65625",6113,"CA_Yolo "
"38.46875_-121.71875",6095,"CA_Solano "
"38.46875_-121.78125",6095,"CA_Solano "
"38.46875_-121.84375",6095,"CA_Solano "
"38.46875_-121.90625",6095,"CA_Solano "
"38.46875_-121.96875",6095,"CA_Solano "
"38.46875_-122.03125",6095,"CA_Solano "
