"location","fips","st_county"
"47.21875_-119.90625",53025,"WA_Grant "
"47.21875_-119.96875",53025,"WA_Grant "
"47.21875_-120.09375",53037,"WA_Kittitas "
"47.28125_-119.59375",53025,"WA_Grant "
"47.28125_-119.65625",53025,"WA_Grant "
"47.28125_-119.71875",53025,"WA_Grant "
"47.28125_-119.78125",53025,"WA_Grant "
"47.28125_-119.84375",53025,"WA_Grant "
"47.28125_-119.90625",53025,"WA_Grant "
"47.28125_-119.96875",53025,"WA_Grant "
"47.28125_-120.09375",53007,"WA_Chelan "
"47.34375_-119.53125",53025,"WA_Grant "
"47.34375_-120.03125",53017,"WA_Douglas "
"47.34375_-120.09375",53017,"WA_Douglas "
"47.34375_-120.21875",53007,"WA_Chelan "
"47.34375_-120.28125",53007,"WA_Chelan "
"47.40625_-119.53125",53025,"WA_Grant "
"47.40625_-120.15625",53017,"WA_Douglas "
"47.40625_-120.21875",53017,"WA_Douglas "
"47.40625_-120.28125",53017,"WA_Douglas "
"47.46875_-120.28125",53017,"WA_Douglas "
"47.46875_-120.34375",53007,"WA_Chelan "
"47.46875_-120.40625",53007,"WA_Chelan "
"47.46875_-120.46875",53007,"WA_Chelan "
"47.53125_-120.28125",53017,"WA_Douglas "
"47.53125_-120.46875",53007,"WA_Chelan "
"47.53125_-120.53125",53007,"WA_Chelan "
"47.59375_-120.21875",53017,"WA_Douglas "
"47.65625_-120.21875",53007,"WA_Chelan "
"47.65625_-120.28125",53007,"WA_Chelan "
"47.71875_-120.15625",53017,"WA_Douglas "
"47.71875_-120.21875",53007,"WA_Chelan "
"47.78125_-119.96875",53017,"WA_Douglas "
"47.78125_-120.03125",53007,"WA_Chelan "
"47.78125_-120.09375",53007,"WA_Chelan "
"47.78125_-120.15625",53007,"WA_Chelan "
"47.84375_-119.90625",53017,"WA_Douglas "
"47.84375_-119.96875",53007,"WA_Chelan "
"47.84375_-120.03125",53007,"WA_Chelan "
"47.84375_-120.09375",53007,"WA_Chelan "
"47.84375_-120.21875",53007,"WA_Chelan "
"47.90625_-119.90625",53007,"WA_Chelan "
