"location","elevation","state_fips","state","lat","long","biofix"
"36.46875_-119.53125",89.2,"06","CA",36.46875,-119.53125,222.601883789063
"36.46875_-119.59375",86.6,"06","CA",36.46875,-119.59375,222.601883789063
"36.46875_-119.65625",81.9,"06","CA",36.46875,-119.65625,222.601883789063
"36.46875_-119.71875",78.3,"06","CA",36.46875,-119.71875,222.601883789063
"36.46875_-119.78125",73.4,"06","CA",36.46875,-119.78125,222.601883789063
"36.46875_-119.84375",69.4,"06","CA",36.46875,-119.84375,222.601883789063
"36.46875_-119.90625",65.2,"06","CA",36.46875,-119.90625,222.601883789063
"36.46875_-119.96875",61.3,"06","CA",36.46875,-119.96875,222.601883789063
"36.46875_-120.40625",153.9,"06","CA",36.46875,-120.40625,222.601883789063
"36.46875_-121.34375",144.8,"06","CA",36.46875,-121.34375,222.601883789063
"36.46875_-121.40625",57.2,"06","CA",36.46875,-121.40625,222.601883789063
"36.53125_-119.28125",116.1,"06","CA",36.53125,-119.28125,221.388071289063
"36.53125_-119.34375",108.4,"06","CA",36.53125,-119.34375,221.388071289063
"36.53125_-119.40625",101.1,"06","CA",36.53125,-119.40625,221.388071289063
"36.53125_-119.46875",97.9,"06","CA",36.53125,-119.46875,221.388071289063
"36.53125_-119.53125",96.2,"06","CA",36.53125,-119.53125,221.388071289063
"36.53125_-119.59375",92.8,"06","CA",36.53125,-119.59375,221.388071289063
"36.53125_-119.65625",87.7,"06","CA",36.53125,-119.65625,221.388071289063
"36.53125_-119.71875",83,"06","CA",36.53125,-119.71875,221.388071289063
"36.53125_-119.78125",79.2,"06","CA",36.53125,-119.78125,221.388071289063
"36.53125_-119.84375",74.6,"06","CA",36.53125,-119.84375,221.388071289063
"36.53125_-119.90625",68.7,"06","CA",36.53125,-119.90625,221.388071289063
"36.53125_-119.96875",63.3,"06","CA",36.53125,-119.96875,221.388071289063
"36.53125_-120.03125",58.3,"06","CA",36.53125,-120.03125,221.388071289063
"36.53125_-121.40625",140.7,"06","CA",36.53125,-121.40625,221.388071289063
"36.53125_-121.46875",43.6,"06","CA",36.53125,-121.46875,221.388071289063
"36.53125_-121.53125",112.8,"06","CA",36.53125,-121.53125,221.388071289063
"36.59375_-119.34375",129.2,"06","CA",36.59375,-119.34375,220.180079101562
"36.59375_-119.40625",109.4,"06","CA",36.59375,-119.40625,220.180079101562
"36.59375_-119.46875",105.5,"06","CA",36.59375,-119.46875,220.180079101562
"36.59375_-119.53125",103.8,"06","CA",36.59375,-119.53125,220.180079101562
"36.59375_-119.59375",100.2,"06","CA",36.59375,-119.59375,220.180079101562
"36.59375_-119.65625",95.2,"06","CA",36.59375,-119.65625,220.180079101562
"36.59375_-119.71875",88.8,"06","CA",36.59375,-119.71875,220.180079101562
"36.59375_-119.84375",77.7,"06","CA",36.59375,-119.84375,220.180079101562
"36.59375_-119.96875",66.8,"06","CA",36.59375,-119.96875,220.180079101562
"36.59375_-120.09375",56.4,"06","CA",36.59375,-120.09375,220.180079101562
"36.65625_-119.40625",122.1,"06","CA",36.65625,-119.40625,218.977907226563
"36.65625_-119.46875",109.5,"06","CA",36.65625,-119.46875,218.977907226563
"36.65625_-119.53125",106.6,"06","CA",36.65625,-119.53125,218.977907226563
"36.65625_-119.59375",105.2,"06","CA",36.65625,-119.59375,218.977907226563
"36.65625_-119.65625",99.5,"06","CA",36.65625,-119.65625,218.977907226563
"36.65625_-119.71875",93.6,"06","CA",36.65625,-119.71875,218.977907226563
"36.65625_-119.78125",87.3,"06","CA",36.65625,-119.78125,218.977907226563
"36.65625_-119.84375",80.6,"06","CA",36.65625,-119.84375,218.977907226563
"36.65625_-119.96875",70.3,"06","CA",36.65625,-119.96875,218.977907226563
"36.65625_-120.03125",66,"06","CA",36.65625,-120.03125,218.977907226563
"36.65625_-120.09375",61.3,"06","CA",36.65625,-120.09375,218.977907226563
"36.71875_-119.46875",121.8,"06","CA",36.71875,-119.46875,217.781555664062
"36.71875_-119.53125",115.3,"06","CA",36.71875,-119.53125,217.781555664062
"36.71875_-119.59375",111,"06","CA",36.71875,-119.59375,217.781555664062
"36.71875_-119.65625",103.4,"06","CA",36.71875,-119.65625,217.781555664062
"36.71875_-119.84375",85.5,"06","CA",36.71875,-119.84375,217.781555664062
"36.71875_-119.90625",80,"06","CA",36.71875,-119.90625,217.781555664062
"36.71875_-119.96875",76.4,"06","CA",36.71875,-119.96875,217.781555664062
"36.71875_-120.03125",71.7,"06","CA",36.71875,-120.03125,217.781555664062
"36.71875_-120.09375",65.8,"06","CA",36.71875,-120.09375,217.781555664062
"36.71875_-121.28125",239.8,"06","CA",36.71875,-121.28125,217.781555664062
"36.78125_-119.46875",160.1,"06","CA",36.78125,-119.46875,216.591024414063
"36.78125_-119.53125",129.2,"06","CA",36.78125,-119.53125,216.591024414063
"36.78125_-119.59375",119.5,"06","CA",36.78125,-119.59375,216.591024414063
"36.78125_-119.65625",111.4,"06","CA",36.78125,-119.65625,216.591024414063
"36.78125_-119.96875",82.2,"06","CA",36.78125,-119.96875,216.591024414063
"36.78125_-120.03125",76.1,"06","CA",36.78125,-120.03125,216.591024414063
"36.78125_-120.09375",70,"06","CA",36.78125,-120.09375,216.591024414063
"36.78125_-120.15625",63.3,"06","CA",36.78125,-120.15625,216.591024414063
"36.78125_-120.21875",57.5,"06","CA",36.78125,-120.21875,216.591024414063
"36.78125_-120.34375",48.3,"06","CA",36.78125,-120.34375,216.591024414063
"36.84375_-119.71875",113.5,"06","CA",36.84375,-119.71875,215.406313476563
"36.84375_-119.84375",99.1,"06","CA",36.84375,-119.84375,215.406313476563
"36.84375_-119.90625",92.5,"06","CA",36.84375,-119.90625,215.406313476563
"36.84375_-119.96875",85.5,"06","CA",36.84375,-119.96875,215.406313476563
"36.84375_-120.03125",79,"06","CA",36.84375,-120.03125,215.406313476563
"36.84375_-120.09375",72.6,"06","CA",36.84375,-120.09375,215.406313476563
"36.90625_-119.78125",107.8,"06","CA",36.90625,-119.78125,214.227422851562
"36.90625_-119.84375",108.8,"06","CA",36.90625,-119.84375,214.227422851562
"36.90625_-119.90625",97.3,"06","CA",36.90625,-119.90625,214.227422851562
"36.90625_-119.96875",88.1,"06","CA",36.90625,-119.96875,214.227422851562
"36.90625_-120.03125",82.4,"06","CA",36.90625,-120.03125,214.227422851562
"36.90625_-120.09375",76.2,"06","CA",36.90625,-120.09375,214.227422851562
"36.90625_-120.15625",69.4,"06","CA",36.90625,-120.15625,214.227422851562
"36.96875_-119.71875",129.8,"06","CA",36.96875,-119.71875,213.054352539063
"36.96875_-120.09375",80.8,"06","CA",36.96875,-120.09375,213.054352539063
"36.96875_-120.15625",71.4,"06","CA",36.96875,-120.15625,213.054352539063
"36.96875_-120.21875",63.9,"06","CA",36.96875,-120.21875,213.054352539063
"36.96875_-121.40625",129.7,"06","CA",36.96875,-121.40625,213.054352539063
