ARRAYID,Location
294,data_46.03125_-120.78125
295,data_46.03125_-120.71875
296,data_46.03125_-120.65625
297,data_46.03125_-120.59375
298,data_46.03125_-120.53125
299,data_46.03125_-120.46875
300,data_46.03125_-120.40625
301,data_46.03125_-120.34375
302,data_46.03125_-120.28125
303,data_46.03125_-120.21875
304,data_46.03125_-120.15625
305,data_46.03125_-120.09375
306,data_46.03125_-120.03125
307,data_46.03125_-119.96875
308,data_46.03125_-119.90625
309,data_46.03125_-119.84375
310,data_46.03125_-119.78125
311,data_46.03125_-119.71875
312,data_46.03125_-119.65625
313,data_46.03125_-119.59375
314,data_46.03125_-119.53125
315,data_46.03125_-119.46875
316,data_46.03125_-119.40625
317,data_46.03125_-119.34375
318,data_46.03125_-119.28125
319,data_46.03125_-119.21875
320,data_46.03125_-119.15625
321,data_46.03125_-119.09375
322,data_46.03125_-119.03125
323,data_46.03125_-118.96875
324,data_46.03125_-118.90625
325,data_46.03125_-118.84375
326,data_46.03125_-118.78125
327,data_46.03125_-118.71875
328,data_46.03125_-118.65625
329,data_46.03125_-118.59375
330,data_46.03125_-118.53125
331,data_46.03125_-118.46875
332,data_46.03125_-118.40625
333,data_46.03125_-118.34375
334,data_46.03125_-118.28125
335,data_46.03125_-118.21875
336,data_46.03125_-118.15625
337,data_46.03125_-118.09375
338,data_46.03125_-118.03125
339,data_46.03125_-117.96875
340,data_46.03125_-117.90625
341,data_46.03125_-117.84375
342,data_46.03125_-117.78125
343,data_46.03125_-117.71875
344,data_46.03125_-117.65625
345,data_46.03125_-117.59375
346,data_46.03125_-117.53125
347,data_46.03125_-117.46875
348,data_46.03125_-117.40625
349,data_46.03125_-117.34375
350,data_46.03125_-117.28125
351,data_46.03125_-117.21875
352,data_46.03125_-117.15625
353,data_46.03125_-117.09375
354,data_46.03125_-117.03125
355,data_46.03125_-116.96875
356,data_46.09375_-122.90625
357,data_46.09375_-122.84375
358,data_46.09375_-122.78125
359,data_46.09375_-122.71875
360,data_46.09375_-122.65625
361,data_46.09375_-122.59375
362,data_46.09375_-122.53125
363,data_46.09375_-122.46875
364,data_46.09375_-122.40625
365,data_46.09375_-122.34375
366,data_46.09375_-122.28125
367,data_46.09375_-122.21875
368,data_46.09375_-122.15625
369,data_46.09375_-122.09375
370,data_46.09375_-122.03125
371,data_46.09375_-121.96875
372,data_46.09375_-121.90625
373,data_46.09375_-121.84375
374,data_46.09375_-121.78125
375,data_46.09375_-121.71875
376,data_46.09375_-121.65625
377,data_46.09375_-121.59375
378,data_46.09375_-121.53125
379,data_46.09375_-121.46875
380,data_46.09375_-121.40625
381,data_46.09375_-121.34375
382,data_46.09375_-121.28125
383,data_46.09375_-121.21875
384,data_46.09375_-121.15625
385,data_46.09375_-121.09375
386,data_46.09375_-121.03125
387,data_46.09375_-120.96875
388,data_46.09375_-120.90625
389,data_46.09375_-120.84375
390,data_46.09375_-120.78125
391,data_46.09375_-120.71875
392,data_46.09375_-120.65625
393,data_46.09375_-120.59375
394,data_46.09375_-120.53125
395,data_46.09375_-120.46875
396,data_46.09375_-120.40625
397,data_46.09375_-120.34375
398,data_46.09375_-120.28125
399,data_46.09375_-120.21875
400,data_46.09375_-120.15625
401,data_46.09375_-120.09375
402,data_46.09375_-120.03125
403,data_46.09375_-119.96875
404,data_46.09375_-119.90625
405,data_46.09375_-119.84375
406,data_46.09375_-119.78125
407,data_46.09375_-119.71875
408,data_46.09375_-119.65625
409,data_46.09375_-119.59375
410,data_46.09375_-119.53125
411,data_46.09375_-119.46875
412,data_46.09375_-119.40625
413,data_46.09375_-119.34375
414,data_46.09375_-119.28125
415,data_46.09375_-119.21875
416,data_46.09375_-119.15625
417,data_46.09375_-119.09375
418,data_46.09375_-119.03125
419,data_46.09375_-118.96875
420,data_46.09375_-118.90625
421,data_46.09375_-118.84375
422,data_46.09375_-118.78125
423,data_46.09375_-118.71875
424,data_46.09375_-118.65625
425,data_46.09375_-118.59375
426,data_46.09375_-118.53125
427,data_46.09375_-118.46875
428,data_46.09375_-118.40625
429,data_46.09375_-118.34375
430,data_46.09375_-118.28125
431,data_46.09375_-118.21875
432,data_46.09375_-118.15625
433,data_46.09375_-118.09375
434,data_46.09375_-118.03125
435,data_46.09375_-117.96875
436,data_46.09375_-117.90625
437,data_46.09375_-117.84375
438,data_46.09375_-117.78125
439,data_46.09375_-117.71875
440,data_46.09375_-117.65625
441,data_46.09375_-117.59375
442,data_46.09375_-117.53125
443,data_46.09375_-117.46875
444,data_46.09375_-117.40625
445,data_46.09375_-117.34375
446,data_46.09375_-117.28125
447,data_46.09375_-117.21875
448,data_46.09375_-117.15625
449,data_46.09375_-117.09375
450,data_46.09375_-117.03125
451,data_46.09375_-116.96875
452,data_46.15625_-123.34375
453,data_46.15625_-123.28125
454,data_46.15625_-123.03125
455,data_46.15625_-122.96875
456,data_46.15625_-122.90625
457,data_46.15625_-122.84375
458,data_46.15625_-122.78125
459,data_46.15625_-122.71875
460,data_46.15625_-122.65625
461,data_46.15625_-122.59375
462,data_46.15625_-122.53125
463,data_46.15625_-122.46875
464,data_46.15625_-122.40625
465,data_46.15625_-122.34375
466,data_46.15625_-122.28125
467,data_46.15625_-122.21875
468,data_46.15625_-122.15625
469,data_46.15625_-122.09375
470,data_46.15625_-122.03125
471,data_46.15625_-121.96875
472,data_46.15625_-121.90625
473,data_46.15625_-121.84375
474,data_46.15625_-121.78125
475,data_46.15625_-121.71875
476,data_46.15625_-121.65625
477,data_46.15625_-121.59375
478,data_46.15625_-121.53125
479,data_46.15625_-121.46875
480,data_46.15625_-121.40625
481,data_46.15625_-121.34375
482,data_46.15625_-121.28125
483,data_46.15625_-121.21875
484,data_46.15625_-121.15625
485,data_46.15625_-121.09375
486,data_46.15625_-121.03125
487,data_46.15625_-120.96875
488,data_46.15625_-120.90625
489,data_46.15625_-120.84375
490,data_46.15625_-120.78125
491,data_46.15625_-120.71875
492,data_46.15625_-120.65625
493,data_46.15625_-120.59375
494,data_46.15625_-120.53125
495,data_46.15625_-120.46875
496,data_46.15625_-120.40625
497,data_46.15625_-120.34375
498,data_46.15625_-120.28125
499,data_46.15625_-120.21875
500,data_46.15625_-120.15625
501,data_46.15625_-120.09375
502,data_46.15625_-120.03125
503,data_46.15625_-119.96875
504,data_46.15625_-119.90625
505,data_46.15625_-119.84375
506,data_46.15625_-119.78125
507,data_46.15625_-119.71875
508,data_46.15625_-119.65625
509,data_46.15625_-119.59375
510,data_46.15625_-119.53125
511,data_46.15625_-119.46875
512,data_46.15625_-119.40625
513,data_46.15625_-119.34375
514,data_46.15625_-119.28125
515,data_46.15625_-119.21875
516,data_46.15625_-119.15625
517,data_46.15625_-119.09375
518,data_46.15625_-119.03125
519,data_46.15625_-118.96875
520,data_46.15625_-118.90625
521,data_46.15625_-118.84375
522,data_46.15625_-118.78125
523,data_46.15625_-118.71875
524,data_46.15625_-118.65625
525,data_46.15625_-118.59375
526,data_46.15625_-118.53125
527,data_46.15625_-118.46875
528,data_46.15625_-118.40625
529,data_46.15625_-118.34375
530,data_46.15625_-118.28125
531,data_46.15625_-118.21875
532,data_46.15625_-118.15625
533,data_46.15625_-118.09375
534,data_46.15625_-118.03125
535,data_46.15625_-117.96875
536,data_46.15625_-117.90625
537,data_46.15625_-117.84375
538,data_46.15625_-117.78125
539,data_46.15625_-117.71875
540,data_46.15625_-117.65625
541,data_46.15625_-117.59375
542,data_46.15625_-117.53125
543,data_46.15625_-117.46875
544,data_46.15625_-117.40625
545,data_46.15625_-117.34375
546,data_46.15625_-117.28125
547,data_46.15625_-117.21875
548,data_46.15625_-117.15625
549,data_46.15625_-117.09375
550,data_46.15625_-117.03125
551,data_46.15625_-116.96875
552,data_46.21875_-123.90625
553,data_46.21875_-123.40625
554,data_46.21875_-123.34375
555,data_46.21875_-123.28125
556,data_46.21875_-123.21875
557,data_46.21875_-123.15625
558,data_46.21875_-123.09375
559,data_46.21875_-123.03125
