"FPU","year","location","model"
17.3884778043477,2036,"MIS","noco2"
17.4276156504243,2037,"MIS","noco2"
17.4665338663842,2038,"MIS","noco2"
17.5056115860128,2039,"MIS","noco2"
17.5455397166772,2040,"MIS","noco2"
17.5807073455675,2041,"MIS","noco2"
17.6171272780903,2042,"MIS","noco2"
17.6544149634869,2043,"MIS","noco2"
17.6912425455655,2044,"MIS","noco2"
17.7294077720041,2045,"MIS","noco2"
17.7613534483904,2046,"MIS","noco2"
17.7959823484768,2047,"MIS","noco2"
17.8288979625523,2048,"MIS","noco2"
17.8630004459664,2049,"MIS","noco2"
17.8984526898477,2050,"MIS","noco2"
23.8105392203675,2005,"MOU","noco2"
23.9330719444559,2006,"MOU","noco2"
24.0873463932683,2007,"MOU","noco2"
24.2402410406504,2008,"MOU","noco2"
24.2978986562604,2009,"MOU","noco2"
24.294182154874,2010,"MOU","noco2"
24.2919264967338,2011,"MOU","noco2"
24.2932830066572,2012,"MOU","noco2"
24.2941218201978,2013,"MOU","noco2"
24.2930731511164,2014,"MOU","noco2"
24.2915086451711,2015,"MOU","noco2"
24.3201206077751,2016,"MOU","noco2"
24.3486100555993,2017,"MOU","noco2"
24.3764488390046,2018,"MOU","noco2"
24.4044247911129,2019,"MOU","noco2"
24.4319758984226,2020,"MOU","noco2"
24.46002357338,2021,"MOU","noco2"
24.4882225531259,2022,"MOU","noco2"
24.5159704426938,2023,"MOU","noco2"
24.5430920864095,2024,"MOU","noco2"
24.5693326890965,2025,"MOU","noco2"
24.5980009810993,2026,"MOU","noco2"
24.6280066634459,2027,"MOU","noco2"
24.6556939265143,2028,"MOU","noco2"
24.6853621358121,2029,"MOU","noco2"
24.712369733793,2030,"MOU","noco2"
24.7426044617128,2031,"MOU","noco2"
24.7719191135153,2032,"MOU","noco2"
24.8003925132204,2033,"MOU","noco2"
24.8299611769347,2034,"MOU","noco2"
24.8591622991613,2035,"MOU","noco2"
24.8888818873193,2036,"MOU","noco2"
24.9200518993149,2037,"MOU","noco2"
24.9502888214369,2038,"MOU","noco2"
24.9801824867894,2039,"MOU","noco2"
25.0106758089539,2040,"MOU","noco2"
25.04049988723,2041,"MOU","noco2"
25.071674612879,2042,"MOU","noco2"
25.1033884402357,2043,"MOU","noco2"
25.1337657012385,2044,"MOU","noco2"
25.1657875151447,2045,"MOU","noco2"
25.1953099076713,2046,"MOU","noco2"
25.2281490091173,2047,"MOU","noco2"
25.2579286228893,2048,"MOU","noco2"
25.2886874596072,2049,"MOU","noco2"
25.3209167390749,2050,"MOU","noco2"
1.55029066788109,2005,"OHI","noco2"
1.55525326052606,2006,"OHI","noco2"
1.56241475538876,2007,"OHI","noco2"
1.56939940488335,2008,"OHI","noco2"
1.57845680079137,2009,"OHI","noco2"
1.58692765138659,2010,"OHI","noco2"
1.59899903775787,2011,"OHI","noco2"
1.61091799344336,2012,"OHI","noco2"
1.62271289042191,2013,"OHI","noco2"
1.63367664626562,2014,"OHI","noco2"
1.6451062997928,2015,"OHI","noco2"
1.65668709035166,2016,"OHI","noco2"
1.66831460592334,2017,"OHI","noco2"
1.67993718883309,2018,"OHI","noco2"
1.69163546058355,2019,"OHI","noco2"
1.70349323211874,2020,"OHI","noco2"
1.71636303094882,2021,"OHI","noco2"
1.72921181439367,2022,"OHI","noco2"
1.74190909966615,2023,"OHI","noco2"
1.75447216017056,2024,"OHI","noco2"
1.76701120531745,2025,"OHI","noco2"
1.77985487064171,2026,"OHI","noco2"
1.79286037244309,2027,"OHI","noco2"
1.80488539673405,2028,"OHI","noco2"
1.81721055169316,2029,"OHI","noco2"
1.82903534939213,2030,"OHI","noco2"
1.84173197046478,2031,"OHI","noco2"
1.85409222900458,2032,"OHI","noco2"
1.86616381319416,2033,"OHI","noco2"
1.87852720895505,2034,"OHI","noco2"
1.89091884243908,2035,"OHI","noco2"
1.9033380194636,2036,"OHI","noco2"
1.91592056325136,2037,"OHI","noco2"
1.92818078504284,2038,"OHI","noco2"
1.94028967658293,2039,"OHI","noco2"
1.95273724198407,2040,"OHI","noco2"
1.96536063830203,2041,"OHI","noco2"
1.97834149244265,2042,"OHI","noco2"
1.99131897148465,2043,"OHI","noco2"
2.00407687164681,2044,"OHI","noco2"
2.01735244698816,2045,"OHI","noco2"
2.03032335939367,2046,"OHI","noco2"
2.04403770136477,2047,"OHI","noco2"
2.05672071846466,2048,"OHI","noco2"
2.06969482295941,2049,"OHI","noco2"
2.08327719024405,2050,"OHI","noco2"
3.20525668860368,2005,"RIG","noco2"
3.21398767403429,2006,"RIG","noco2"
3.22240835286901,2007,"RIG","noco2"
3.23086886533722,2008,"RIG","noco2"
3.23914924840905,2009,"RIG","noco2"
3.24737608793547,2010,"RIG","noco2"
3.25726743473431,2011,"RIG","noco2"
3.26748955622525,2012,"RIG","noco2"
3.27780607550867,2013,"RIG","noco2"
3.2880072993203,2014,"RIG","noco2"
3.29832207507676,2015,"RIG","noco2"
3.29923082003149,2016,"RIG","noco2"
3.30013356500123,2017,"RIG","noco2"
3.30105227872942,2018,"RIG","noco2"
3.30197969396885,2019,"RIG","noco2"
3.30295933004937,2020,"RIG","noco2"
3.30291893906266,2021,"RIG","noco2"
3.30294071884782,2022,"RIG","noco2"
3.3029975028536,2023,"RIG","noco2"
3.30300330436667,2024,"RIG","noco2"
3.30261024798768,2025,"RIG","noco2"
3.30191355789026,2026,"RIG","noco2"
3.30148406997152,2027,"RIG","noco2"
3.3008095526297,2028,"RIG","noco2"
3.30043597988224,2029,"RIG","noco2"
3.29974067292831,2030,"RIG","noco2"
3.29919681517965,2031,"RIG","noco2"
3.29849367492308,2032,"RIG","noco2"
3.29777869710793,2033,"RIG","noco2"
3.29721618130948,2034,"RIG","noco2"
3.29662181919274,2035,"RIG","noco2"
3.29620915382345,2036,"RIG","noco2"
3.29598730842273,2037,"RIG","noco2"
3.29567016568684,2038,"RIG","noco2"
3.29533607187739,2039,"RIG","noco2"
3.29509137549034,2040,"RIG","noco2"
3.29440294239358,2041,"RIG","noco2"
3.29391525058879,2042,"RIG","noco2"
3.29348136955318,2043,"RIG","noco2"
3.2929554900074,2044,"RIG","noco2"
3.29254726561464,2045,"RIG","noco2"
3.29132235259458,2046,"RIG","noco2"
3.29048063512083,2047,"RIG","noco2"
3.28932455478951,2048,"RIG","noco2"
3.28824253076911,2049,"RIG","noco2"
3.28735593301642,2050,"RIG","noco2"
1.19811444495361,2005,"RWI","noco2"
1.20609631154754,2006,"RWI","noco2"
1.21379924551565,2007,"RWI","noco2"
1.22157554722082,2008,"RWI","noco2"
1.22922307111685,2009,"RWI","noco2"
1.23691407720376,2010,"RWI","noco2"
1.24534927537969,2011,"RWI","noco2"
1.25404677199958,2012,"RWI","noco2"
1.26284925733726,2013,"RWI","noco2"
1.27166737749847,2014,"RWI","noco2"
1.28073234171144,2015,"RWI","noco2"
1.28347055938616,2016,"RWI","noco2"
1.28626351386787,2017,"RWI","noco2"
1.28911198783153,2018,"RWI","noco2"
1.29201281678928,2019,"RWI","noco2"
1.29504953506358,2020,"RWI","noco2"
1.29805355134781,2021,"RWI","noco2"
1.30117783765434,2022,"RWI","noco2"
1.30436867408433,2023,"RWI","noco2"
1.30759561418031,2024,"RWI","noco2"
1.31241446573294,2025,"RWI","noco2"
1.31709314048966,2026,"RWI","noco2"
1.32198871616532,2027,"RWI","noco2"
1.32684172221551,2028,"RWI","noco2"
1.33190270322226,2029,"RWI","noco2"
1.33688071334626,2030,"RWI","noco2"
1.34200150355292,2031,"RWI","noco2"
1.34711470543968,2032,"RWI","noco2"
1.35228115063046,2033,"RWI","noco2"
1.35762668169969,2034,"RWI","noco2"
1.36298738021417,2035,"RWI","noco2"
1.3684432366406,2036,"RWI","noco2"
1.37408582835342,2037,"RWI","noco2"
1.37973220890644,2038,"RWI","noco2"
1.38543469231256,2039,"RWI","noco2"
1.39124436263473,2040,"RWI","noco2"
1.39713921988507,2041,"RWI","noco2"
1.40322308968337,2042,"RWI","noco2"
1.40939178906063,2043,"RWI","noco2"
1.41556250645943,2044,"RWI","noco2"
1.42185260343656,2045,"RWI","noco2"
1.42793820371361,2046,"RWI","noco2"
1.43429689341536,2047,"RWI","noco2"
1.44055278013112,2048,"RWI","noco2"
1.44691144763703,2049,"RWI","noco2"
