"lat","long","locationGroup","location"
43.96875,-123.21875,"Oregon Area","43.96875_-123.21875"
43.96875,-123.03125,"Oregon Area","43.96875_-123.03125"
43.96875,-122.96875,"Oregon Area","43.96875_-122.96875"
43.96875,-122.90625,"Oregon Area","43.96875_-122.90625"
43.96875,-122.84375,"Oregon Area","43.96875_-122.84375"
43.96875,-117.40625,"Oregon Area","43.96875_-117.40625"
43.96875,-117.34375,"Oregon Area","43.96875_-117.34375"
43.96875,-117.28125,"Oregon Area","43.96875_-117.28125"
43.96875,-117.21875,"Oregon Area","43.96875_-117.21875"
43.96875,-117.09375,"Oregon Area","43.96875_-117.09375"
43.96875,-117.03125,"Oregon Area","43.96875_-117.03125"
43.96875,-116.96875,"Oregon Area","43.96875_-116.96875"
43.96875,-116.90625,"Oregon Area","43.96875_-116.90625"
43.96875,-116.84375,"Oregon Area","43.96875_-116.84375"
43.96875,-116.78125,"Oregon Area","43.96875_-116.78125"
43.96875,-116.71875,"Oregon Area","43.96875_-116.71875"
43.96875,-116.65625,"Oregon Area","43.96875_-116.65625"
43.96875,-116.53125,"Oregon Area","43.96875_-116.53125"
43.96875,-116.40625,"Oregon Area","43.96875_-116.40625"
44.03125,-124.09375,"Oregon Area","44.03125_-124.09375"
44.03125,-123.90625,"Oregon Area","44.03125_-123.90625"
44.03125,-123.84375,"Oregon Area","44.03125_-123.84375"
44.03125,-123.78125,"Oregon Area","44.03125_-123.78125"
44.03125,-123.46875,"Oregon Area","44.03125_-123.46875"
44.03125,-123.40625,"Oregon Area","44.03125_-123.40625"
44.03125,-123.34375,"Oregon Area","44.03125_-123.34375"
44.03125,-123.28125,"Oregon Area","44.03125_-123.28125"
44.03125,-123.21875,"Oregon Area","44.03125_-123.21875"
44.03125,-123.15625,"Oregon Area","44.03125_-123.15625"
44.03125,-123.09375,"Oregon Area","44.03125_-123.09375"
44.03125,-123.03125,"Oregon Area","44.03125_-123.03125"
44.03125,-122.96875,"Oregon Area","44.03125_-122.96875"
44.03125,-122.90625,"Oregon Area","44.03125_-122.90625"
44.03125,-122.84375,"Oregon Area","44.03125_-122.84375"
44.03125,-121.71875,"Oregon Area","44.03125_-121.71875"
44.03125,-117.46875,"Oregon Area","44.03125_-117.46875"
44.03125,-117.15625,"Oregon Area","44.03125_-117.15625"
44.03125,-117.09375,"Oregon Area","44.03125_-117.09375"
44.03125,-117.03125,"Oregon Area","44.03125_-117.03125"
44.03125,-116.96875,"Oregon Area","44.03125_-116.96875"
44.03125,-116.90625,"Oregon Area","44.03125_-116.90625"
44.03125,-116.84375,"Oregon Area","44.03125_-116.84375"
44.03125,-116.78125,"Oregon Area","44.03125_-116.78125"
44.03125,-116.71875,"Oregon Area","44.03125_-116.71875"
44.03125,-116.65625,"Oregon Area","44.03125_-116.65625"
44.09375,-124.09375,"Oregon Area","44.09375_-124.09375"
44.09375,-123.90625,"Oregon Area","44.09375_-123.90625"
44.09375,-123.84375,"Oregon Area","44.09375_-123.84375"
44.09375,-123.59375,"Oregon Area","44.09375_-123.59375"
44.09375,-123.46875,"Oregon Area","44.09375_-123.46875"
44.09375,-123.40625,"Oregon Area","44.09375_-123.40625"
44.09375,-123.34375,"Oregon Area","44.09375_-123.34375"
44.09375,-123.28125,"Oregon Area","44.09375_-123.28125"
44.09375,-123.21875,"Oregon Area","44.09375_-123.21875"
44.09375,-123.15625,"Oregon Area","44.09375_-123.15625"
44.09375,-123.09375,"Oregon Area","44.09375_-123.09375"
